id,wikidata
labour,Q9630
conservative,Q9626
liberal-democrat,Q9624
scottish-national-party,Q10658
labourco-operative,Q6467393
dup,Q215519
sinn-fein,Q76382
independent,Q327591
uup,Q841045
plaid-cymru,Q10691
social-democratic-and-labour-party,Q175443
ukip,Q10647
green,Q9669
respect,Q287031
ukup,Q985706
alliance,Q244927
