id,name,area,image,term,source,last_seen
chervonookiy-valeriy-vladimirovich,ЧЕРВОНООКИЙ Валерий Владимирович,7,http://vspmr.org/im.xp/049051055053124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/chervonookiy-valeriy-vladimirovich/,
yarich-igorj-teodorovich,ЯРЫЧ Игорь Теодорович,30,http://vspmr.org/im.xp/049051055055124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/yarich-igorj-teodorovich/,
antyufeeva-galina-mihaylovna,АНТЮФЕЕВА Галина Михайловна,32,http://vspmr.org/im.xp/050053057057049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/antyufeeva-galina-mihaylovna/,2016-06-03
babchinetskiy-valeriy-grigorjevich,БАБЧИНЕЦКИЙ Валерий Григорьевич,15,http://vspmr.org/im.xp/049054056053051124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/babchinetskiy-valeriy-grigorjevich/,2016-06-03
baev-oleg-markovich,БАЕВ Олег Маркович,12,http://vspmr.org/im.xp/049050048050124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/baev-oleg-markovich/,2016-06-03
belyakov-oleg-leonidovich,БЕЛЯКОВ Олег Леонидович,5,http://vspmr.org/im.xp/049054052048053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/belyakov-oleg-leonidovich/,2016-06-03
buga-igorj-semenovich,БУГА Игорь Семенович,37,http://vspmr.org/im.xp/049054048057057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/buga-igorj-semenovich/,2016-06-03
burla-mihail-porfirovich,БУРЛА Михаил Порфирович,34,http://vspmr.org/im.xp/054057049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/burla-mihail-porfirovich/,2016-06-03
vasilatiy-oleg-valerjevich,ВАСИЛАТИЙ Олег Валерьевич,27,http://vspmr.org/im.xp/054057050124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/vasilatiy-oleg-valerjevich/,2016-06-03
vasiljev-iljya-ivanovich,ВАСИЛЬЕВ Илья Иванович,38,http://vspmr.org/im.xp/049054050053057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/vasiljev-iljya-ivanovich/,2016-06-03
vlasov-vasiliy-ivanovich,ВЛАСОВ Василий Иванович,17,http://vspmr.org/im.xp/049054056053052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/vlasov-vasiliy-ivanovich/,2016-06-03
