id,name,party,area_id,area,election,term
1984-1,Michael Oliver Powell,PAM,1984-1,Basseterre East,1984,1984
1984-10,Simeon Daniel,NRP,1984-11,St. Thomas's and St. James's,1984,1984
1984-2,Kennedy Alphonso Simmonds,PAM,1984-2,Basseterre Central,1984,1984
1984-3,Joseph N. France,LP,1984-3,Basseterre West,1984,1984
1984-4,Constance Mitcham,PAM,1984-4,Half Way Tree,1984,1984
1984-5,Hugh Heyliger,PAM,1984-5,St. Anne Parish,1984,1984
1984-6,Charles E. Mills,LP,1984-6,Newton Ground-Harris,1984,1984
1984-7,Roy Jones,PAM,1984-7,Belle Vue-Ottley's,1984,1984
1984-8,Sydney Morris,PAM,1984-8,Ottley's-St. Peter's,1984,1984
1984-9,Ivor Stevens,NRP,1984-9,St. John's and St. Paul's,1984,1984
