id,name,party,area_id,area,election,term
2010-1,Dr. Asim Martin,LP,2010-1,Basseterre East,2010,2010
2010-10,Vance Amory,CCM,2010-10,St. George's,2010,2010
2010-11,Patrice Nisbett,NRP,2010-11,St. Thomas's and St. James's,2010,2010
2010-2,Marcella A. Liburd,LP,2010-2,Basseterre Central,2010,2010
2010-3,Sam Terrence Condor,LP,2010-3,Basseterre West,2010,2010
2010-4,Glen Fitzroy Phillip,LP,2010-4,Half Way Tree,2010,2010
2010-5,Shawn K. Richards,PAM,2010-5,St. Anne Parish,2010,2010
2010-6,Dr. Denzil L. Douglas,LP,2010-6,Newton Ground-Harris,2010,2010
2010-7,Dr. Timothy Harris,LP,2010-7,Belle Vue-Ottley's,2010,2010
2010-8,Eugene A. Hamilton,PAM,2010-8,Ottley's-St. Peter's,2010,2010
2010-9,Mark A.G. Brantley,CCM,2010-9,St. John's and St. Paul's,2010,2010
