id,name,party,area_id,area,election,term
1995-1,Asim E. Martin,LP,1995-1,Basseterre East,1995,1995
1995-10,Vance Amory,CCM,1995-10,St. George's,1995,1995
1995-11,Joseph W. Parry,NRP,1995-11,St. Thomas's and St. James's,1995,1995
1995-2,G.A.D. Astaphan,LP,1995-2,Basseterre Central,1995,1995
1995-3,Sam Condor,LP,1995-3,Basseterre West,1995,1995
1995-4,Rupert Herbert,LP,1995-4,Half Way Tree,1995,1995
1995-5,Hugh Heyliger,PAM,1995-5,St. Anne Parish,1995,1995
1995-6,Denzil L. Douglas,LP,1995-6,Newton Ground-Harris,1995,1995
1995-7,Timothy Harris,LP,1995-7,Belle Vue-Ottley's,1995,1995
1995-8,Cedric R. Liburd,LP,1995-8,Ottley's-St. Peter's,1995,1995
1995-9,Malcolm Guishard,CCM,1995-9,St. John's and St. Paul's,1995,1995
