id,name,party,area_id,area,election,term
1989-1,Michael Oliver Powell,PAM,1989-1,Basseterre East,1989,1989
1989-10,Vance Amory,CCM,1989-10,St. George's,1989,1989
1989-11,Joseph W. Parry,NRP,1989-11,St. Thomas's and St. James's,1989,1989
1989-2,Kennedy Alphonso Simmonds,PAM,1989-2,Basseterre Central,1989,1989
1989-3,Sam Condor,LP,1989-3,Basseterre West,1989,1989
1989-4,Constance Mitcham,PAM,1989-4,Half Way Tree,1989,1989
1989-5,Hugh Heyliger,PAM,1989-5,St. Anne Parish,1989,1989
1989-6,Denzil L. Douglas,LP,1989-6,Newton Ground-Harris,1989,1989
1989-7,Roy Jones,PAM,1989-7,Belle Vue-Ottley's,1989,1989
1989-8,Sydney Morris,PAM,1989-8,Ottley's-St. Peter's,1989,1989
1989-9,Simeon Daniel,NRP,1989-9,St. John's and St. Paul's,1989,1989
