id,name,party,area_id,area,election,term
1993-1,Asim E. Martin,LP,1993-1,Basseterre East,1993,1993
1993-10,Vance Amory,CCM,1993-10,St. George's,1993,1993
1993-11,Joseph W. Parry,NRP,1993-11,St. Thomas's and St. James's,1993,1993
1993-2,Kennedy Alphonso Simmonds,PAM,1993-2,Basseterre Central,1993,1993
1993-3,Sam Condor,LP,1993-3,Basseterre West,1993,1993
1993-4,Constance Mitcham,PAM,1993-4,Half Way Tree,1993,1993
1993-5,Hugh Heyliger,PAM,1993-5,St. Anne Parish,1993,1993
1993-6,Denzil L. Douglas,LP,1993-6,Newton Ground-Harris,1993,1993
1993-7,Timothy Harris,LP,1993-7,Belle Vue-Ottley's,1993,1993
1993-8,Sydney Morris,PAM,1993-8,Ottley's-St. Peter's,1993,1993
1993-9,Malcolm Guishard,CCM,1993-9,St. John's and St. Paul's,1993,1993
