id,wikidata
CDP,Q592045
MPP,Q24475758
adf/rda,Q2646749,
ADF / RDA,Q2646749
non_inscrit,Q327591
UPR,Q2494813
PDS/METBA,Q7140994
PAREN,Q6975208
ODT,Q18618899
RDB,Q7287090
UNDD,Q6979092
