id,name,position,start_date,end_date
8f1e4c65-e43f-4ce4-be39-ff24de0be952,JADRANKA KOSOR,Prime Minister of Croatia,2009-07-06,2011-12-23
b846bd6a-d046-4523-ae89-caeaba1bb3bc,MIRELA HOLY,member of the European Parliament,,
b41d5647-8d29-4444-95d4-41029475d7b0,NIKOLA VULJANIĆ,member of the European Parliament,,
