uuid,twitter
21f59f22-56cf-4f71-aec4-d2a38bd12882,ElizabethMay
e6935df0-a2a1-4936-b97d-d4a73d3fac5a,EmmanuelDubourg
6c8482f2-79f1-48f4-af06-22ed47b8aeae,ErinOTooleMP
a9077336-21cd-4ad1-976f-2cc486ac8c0d,Erin_Weir
3e97f38e-4966-4a2a-bdd6-62cee1d03d75,EvaNassifVimy
7f8df594-7a22-4e71-b1a9-4bd3c6f2b723,F_ElKhoury
4956f50a-66ca-4d88-b10b-b27a74ef8134,votetassi
53bdb6cc-0fc9-42f5-9504-059fc642be2b,FinDonnelly
f4a09fb5-6c8d-4ce7-ab86-46e98f9bbdc9,fsorbara
2d51879f-f9c4-47c3-99fa-51208fcc3fe9,Francis_Drouin
af2f9e5b-4a89-46ec-aaef-01dc71a5f11b,ScarpaleggiaLSL
72e5737d-cadc-42f4-ac18-e60f9cda6bc2,frankbaylis
c916ce48-684f-4afe-90aa-250aadd86410,F_Choquette
a94766b3-7901-45f6-9e40-7259aaa0a7ab,FP_Champagne
d5ee556a-23e2-43b0-895c-892edb579a87,Gabriel_SMarie
91e9cdcc-6035-492f-87b9-c2c78d9a52d2,gagansikand
2c769310-2c20-40ab-98a4-b2b267bc0921,GarnettGenuis
1997e56a-830c-4e61-94ca-3aac5d71f42f,gary_srp
45563a12-a60a-4fc3-af92-4fc4da4d3e5d,GengTanMP
0c885d36-2aa6-4068-8c42-fde8d0c1bcfa,geoffregan
b1607641-7723-4bbf-a47f-1f19f4f30fde,GeorginaNDP
dd11e9c7-523f-4de5-9bb5-86e648d7ac4a,GerryRitzMP
8a8d8556-1d12-42c7-930e-689ea545556d,GPTaylorMRD
33475893-cc35-428c-8e68-d1f137a929d5,gordbrown
1413690d-8d99-4861-b4f6-add31f3767a9,GordJohns
07e0e4c7-d9bb-48c8-a053-39c4b8c26421,GregFergus
e80fe256-5e5a-47e3-bb89-8d556d1b780b,Gudie
414baac7-3aac-434b-85dc-699948345965,GuyCaronNPD
82b7f73e-9283-4a32-9e54-620e75c738fb,gerarddeltell
b6b52143-5eae-4b31-a39d-bade3bb7bce8,HarjitSajjan
74c20fa8-843c-49be-ba37-f7b616790b77,Albrecht4KitCon
0f81c295-82e0-46b7-b51e-ca4c7d55f68d,HedyFry
61ad920f-65fd-4a04-84d3-62e9f377175f,HLaverdiereNPD
f7f3d7c0-c861-407b-995e-c9518b65f421,iamIqraKhalid
6b72b104-78be-4c4f-bdbf-1766282628c8,irenemathyssen
5f4ad3a8-a70b-474e-b1dc-43f1fb47d05c,JacquesGourde
49ed13bf-807a-488d-91e8-024a7b5b59f2,jamesbezan
1c409af8-bf80-4df2-a4aa-f848d9e0b444,j_maloney
5d9154f9-ab90-486c-bf18-2b34d9c01b7b,Jamie_Schmale
89123085-90bc-4bf3-8940-e18edbba0aae,janephilpott
464c26e9-c3a6-4928-b195-24ecefc5fb4c,jkenney
db750827-f7f4-44f4-8300-7a0a72f44fd5,JatiSidhuLPC
41ec6d03-054b-49a8-9381-0e0c214dbcc1,jeanriouxplc
99c24018-79ef-4689-ad17-42fba8950082,PLCLaPrairieJCP
6b803fc2-03c4-4edd-ba3d-a36d20f65d61,jyduclos
5ff8d817-97ca-4c20-a3c2-9e5e6c00ff6a,jenoconnell_
2441591a-0296-4f94-9d59-f6e041eb50af,JennyKwanBC
f6eeb37c-e6f5-44ce-acdd-fa6c33dc22a1,jimcarr_wpg
d5dbafd0-a6d2-428c-a846-a584b80e5925,JimEglinski
2652a805-2706-4030-b3d2-b045d021ed79,Puglaas
62421cab-19d7-46e5-b690-b74ff71b9795,jpeschisolido
d4709a67-be0d-4943-8bd8-2f1ebdfac369,jwaldag
eadc659d-2d9e-4e08-91a4-fc9e261da1c5,JohnBarlowMP
020e1aed-761c-46b2-bc53-d40bfb2062a3,JohnBrassardCPC
339e3459-c85e-4adc-93ab-ba9c8c20078a,JohnMcCallumLPC
deea1cee-13b6-4988-8743-a4cc81090185,JohnMcKayLib
bcfc5e84-9c30-484c-96f5-9adb1f15c4af,JLNater
7572e494-a27e-47eb-8177-77d688c58df3,voteoliver
448c8182-b71f-4a3b-b572-f12d864bbeab,JonathanWNV
27919489-2407-4874-9649-f3611131b52e,joycemurray
d2052407-491d-45ea-84e2-b24387a6e9d9,JoelLightbound
c9a40139-70a1-4507-99c2-fa85270d2fce,JudyFooteMP
eb767097-82fd-46e7-8215-c57cdf685e86,JudySgroMP
0cb25ef8-ab36-4b58-b611-ec1ebc262e3f,juliedabrusin
90fffd67-9ec0-4bfd-9aa6-c13fcb5dca42,JulieDzerowicz
01b44d36-d39c-4cf3-a8ea-0191187cccaf,JustinTrudeau
bfd6ee3c-f716-42e5-9dbc-38cc379d7893,KamalKheraLib
23e0bc51-218e-4ad9-955b-638d0c53a069,KarenLudwigNB
71a2f588-6e8a-4b3b-8acb-1b3af2593c5e,karenmccrimmon
4e67d394-bebf-4850-a121-1d13c49a9094,karen_vecchio
d2384df6-1918-47be-b272-9d2ba4ed28f0,karinagould
3a3c7773-f0d7-4e09-9335-df303a1a5318,trudel_karine
6b8077a3-e6be-48d5-90c0-5ac5f51d9cd7,VoteKateYoung
b626e613-d46a-4e50-83da-e1bec89bdff8,KellieLeitch
54193c09-4c26-466b-8c21-da7d4ecb5fe6,KellyBlockmp
56e8960e-e3fe-481c-a8e0-48b896052d6b,KellyMcCauleyMP
0fd4d633-9813-428d-bf0f-c31ae07c5605,KenHardie
91af82e0-63a3-4de8-97fd-889cead06cc9,avalonMPKen
dcaaddac-9cbd-4c67-b9b0-c1a4dca9021f,kennedystewart
b6ea1d5a-7e9b-443c-8b55-4d94c1118e0b,kenthehr
b3afbb2f-f820-4b63-b92d-425446cf6e9b,KerryDiotte
6503b258-44e4-4f0a-a2eb-3f45e84a526c,Kevin_Lamoureux
ded42049-9707-48ae-b52c-be67f1a26f8a,KevinASorenson
07fbe77a-3215-436b-b974-b0d4fd3d9e42,KevinWaugh_CPC
8bde2a14-fe49-47b1-9f30-3bc4465ce3ef,RuddKim
f3920efe-bc1e-4818-b628-7705cbf9788f,KirstyDuncanMP
216eb46f-858e-4cc8-a998-f4076c7eb8f5,kylejpeterson
c049fe59-efac-4fe6-bcb3-fd0bd2381c9b,LarryBagnell
df7133b9-95ca-4b7d-99d6-d91cf8fb3481,LarryMaguireMP
cc2066d5-80cd-4469-bf94-4ef2aca361ee,LarryMillerMP
3c268e35-037f-424f-b62e-9b7de540a28a,L_MacAulay
7295e7e6-5eee-4210-a135-e34bd69166a2,Webber4Confed
4dc1953c-ad5e-421b-96dd-d746359719bc,LeonaAlleslev
480897b4-fcbf-40a3-9ee2-e58dcc9fe716,LindaDuncanMP
b6c7b83b-6bf8-4fb0-949c-54bf7ff7929f,LapointeLinda
c4c03be4-a9d4-4c56-b36e-acd490c45e1a,lraitt
bbc27547-a86c-41c6-b11b-dca9e1480eb4,LloydLongfield
eee16bdf-34a1-4a47-aa98-e3717f456692,LucBerthold
d24fe762-6772-47d5-9b52-f696d31eddb3,LucTerjo1
f54d608b-6fc7-484d-bcdc-e0d7e2203010,MajidJowhari
d1b89a61-7b8d-4bef-aba2-c4683f9f2ea9,MarcGarneau
9c716078-7177-4ca3-939a-83d298c3ef15,MarcMillerVM
a6eae866-4327-4809-bb9a-d89667baf5cc,marcgserre
44f52531-41d4-4d64-8573-28be86255592,marcomendicino
af94bcaf-9fd5-4882-98fd-94f04db55b0a,mclaudebibeau
042c6bb2-8058-4e2a-aaf2-16a82dd9e436,Mario_Beaulieu
d5ba23a3-b83c-4b47-85d9-103bac5b9819,MarjBoutinSweet
210ba9d9-e5b1-42df-8e0d-5818294b37a9,MarkEyking_MP
6e465927-b428-43b5-bfa5-5496659550b3,MarkGerretsen
09ae0c58-52bb-473a-b1b2-27c06b5a8af9,markhollandlib
7e79b4bd-9b30-4aa1-800d-2e6aafa9944e,markstrahl
439e2e9a-6243-41ac-acf1-977669b88f9f,MPmarkwarawa
940fe124-01a4-4bde-bcb1-2480271e3fce,MartinBowRiver
66c91109-0649-442f-a8cb-cf130cfd75c0,MPMihychuk
4205d3db-a1f5-424d-8691-27011ac5c915,MaryamMonsef
dea1f938-f047-4f5f-bb78-126fe67c3e2f,MattDeCourcey
46f7eb18-aebc-4a5d-a94a-958029eb108b,jeneroux
3b7418a6-991c-42d4-86bb-192177679fcc,MattDube
c5391105-42ab-4b5c-8de0-3d8c42205e12,Mauril_Belanger
d48c5536-722f-4f54-b8b9-ea43a0e1bec2,MaximeBernier
daa2a687-37a2-487c-8552-14505d082bbd,MelArnold2015
00e911f6-0d61-467a-a96d-33257c7f0bf1,MichaelChongMP
a5476875-2a9c-4742-a59c-cda858f49599,Cooper4SAE
668b974c-b074-4dda-836d-414572665d3f,LevittMichael
65a4ef51-dd6e-4edb-b576-8bad6767a859,MMcLeodNWT
a6253088-efc1-4391-ac52-afd27cb19918,boudrias2015
128e1a97-64b2-4b00-8495-18fdd45cacd6,MPicardLiberal
c72cf528-1bf2-409c-acb0-83045cc11899,MichelleRempel
4095e6ca-8475-4f9b-aea3-37a7c47f7af8,MikeBossio
9fee3d24-be5e-497d-8fae-edc121e1aa57,MikeLakeMP
d4d5543f-3c92-46b6-8a4d-4d4a3db884ef,MurrayRankin
25cd0ef1-cfc9-4f8b-8367-d2b14f9e2775,melaniejoly
776183ba-fd4c-4ce4-bf26-43b324a75d19,nathancullen
96d39d8b-612e-455b-baf5-ed596e9f5eab,beynate
abd1552d-63fb-41b1-af55-d54903cfed9a,NavdeepSBains
4b14234e-98d1-4097-a49c-914911d32200,NeilREllis
bde5ba1a-6c62-42d5-ae91-031765d35653,NickWhalenMP
bbacc99c-6674-419a-9abd-1d8aa5e0742c,DiIorioLiberal
e4d5f9ca-8dbc-4dec-b845-6f4786fb4145,nikiashton
b2f66ed9-9e23-4c4f-9dbd-0d26bdcc3d3c,OmarAlghabra
624715ff-91bc-4d9a-ba0c-e352a451b2fe,Rodriguez_Pab
957ac7cf-dbf0-4873-b937-419b3b6b3787,PamDamoff
c63802f9-d464-411d-a385-971c2a005408,pgoldsmithjones
bfa3d80b-4f94-4405-9560-ec260c8f588e,PatriceFinnigan
73fa1a96-868c-4a86-b7ab-08f49d06e7bb,votepatkelly
d8f57f33-a2a6-4a96-9939-b1fb35b7b11f,LefebvrePaul
80a4eb8a-6095-4c79-bfaa-16082a804a2d,votefonseca
66ccd537-1f51-4e0b-8040-38d65fe0a916,pfragiskatos
a4c65aca-6db5-4f49-8bc9-55269215d007,MPJulian
73712677-6c29-4b11-8671-e06d62c24cbf,KentThornhillMP
afd06319-9573-4b0f-9584-f0fd451d327f,PeterSchiefke
f4f1ff77-8ece-415f-b4d3-fdd4536488f4,PeterVanLoan
908c94ee-347a-409c-b5ed-f2e6b97ac3be,Phil4Brant
d44476b4-1836-41d6-93fc-5d82392defa9,pierrebretonplc
0b42b5bb-2900-4398-8fba-5e8ee2ab11db,pierrenantel
3205d3b0-c543-4ab7-bf03-8f5300d11a45,PierrePoilievre
f30d37d5-e5b8-43b4-81ca-7383834a1a1f,PLDusseault
a9549488-12c7-49fc-9f17-124d87abd024,RABlaney
81f6d5a4-14ef-46d5-b7e9-a3271a11b617,RajLiberal
3632eea2-b7b7-4c04-ac74-d68f25b5042e,1rajsaini
4842c8d2-87f6-496d-8214-5a60f393b1f9,RalphGoodale
cb37351e-7b88-4248-85ec-b4b129293950,sangharamesh
7ce5ca79-b60b-4155-8392-efcfff744319,ramezayoub
178b71a7-f194-4fc4-b9ca-0e0d063ada8c,r_garrison
4a5c21df-9e58-4eb7-ab2a-f2bc103983e4,randeepssarai
49f15f9a-24aa-49d0-861a-22d2c6595a60,R_Boissonnault
b87d8e9c-28cb-4825-a0f2-23316a473e9d,MPRandyHoback
cbf67124-9c28-4698-b4e6-970b48cee90c,reloif
6420ce4b-615c-4639-b1d2-4baa0793a394,CanningsNDP
35821980-0266-4faf-b1db-36fd87570463,HonRobNicholson
e4e443e3-6cd4-4188-a4ef-04fd07bb573e,Rob_Oliphant
c7e5cae6-1437-402a-85de-699351e7bda9,RobertAubinNPD
29a40105-7596-4c88-aad5-4a3103579710,RobertSopuck
ddaadf04-910b-40ed-981c-234fab9a3e4b,DrRobbieO
d358cb1d-42c6-40fd-8638-a4091266ae1e,RodgerCuzner
64d282db-116a-4aaa-8edf-d3ba639cd6da,RomeoSaganash
82ca07c1-b51c-4b53-b287-1ec14cede09d,RonLiepert
0af873c8-ebcd-4385-bb2b-c8480f821b0d,RonMcKinnonLib
493da50c-c1a5-499d-9b56-70126a49b99f,RonaAmbrose
9f42aedd-7abb-4883-a260-e8cfa4e167e8,MPRubySahota
7057b04f-1755-4029-9053-ed8c2fcb3273,RE_Brosseau
79040cec-bdec-4a4e-817c-2b5b9d90e429,Remi_Masse1
18565559-4fcc-4fd8-b42c-b9b99f47edae,SalmaZahid15
fb16b4e6-2935-412b-9eeb-c264be978ec0,scottbrison
d9359c7a-1af0-436e-abc9-c95e36d81413,sduvall07
cc9f1422-7729-4ab0-bb66-cf7045d7c8da,ScottReidCPC
5e65c406-c011-4e9e-8d47-5cf2e11d5cf4,Scott_Simms
8f28982e-5fd2-4e8e-8c48-c414babc806a,SeamusORegan
d6a82130-4139-48e7-9c6f-44689e04d6e1,SeanCaseyLPC
deebce9a-ba90-4785-bf1e-5103a38be83d,electseanfraser
a0fb0527-1b06-43f7-9dae-26bf00ef2705,sergecormierlib
0cfb092d-bf74-493e-8286-ed6985338323,ShannonLStubbs
2ce33031-f036-48ac-8c7c-06f4de6916c2,Shaun_Chen
730f0060-81aa-45a1-b2ac-997a78d49b8a,s_malcolmson
65a6db66-ba8a-4e22-b9df-ddac94542b44,sherirbenson
57ecefbf-620f-439b-bc17-210745792c75,SherryRomanado
c9a9abcc-66cd-4509-96e6-ed4863b06172,SoniaLiberal
3a3fb683-2ac1-4cbb-860a-2d337e2c58be,Fuhr2015
7c83651f-d89b-4247-8c95-4dffdf5966d1,stephenharper
3c8a4563-c5e1-4799-ae6b-a0e8d17df9f0,stevenmackinnon
