id,wikidata
BJP,Q10230
INC,Q10225
AIADMK,Q651141
AITC,Q912899
BJD,Q859993
SS,Q59177
TDP,Q2279320
TRS,Q3518390
YSR Congress Party,Q8046035
CPI(M),Q234277
NCP,Q1561861
LJSP,Q3634933
SP,Q1546941
AAP,Q129844
RJD,Q3176919
SAD,Q148034
Ind.,Q327591
J&KPDP,Q3781724
AIUDF,Q2542705
RLSP,Q16354685
INLD,Q10534955
IUML,Q3196786
JD(S),Q1601619
JMM,Q3273397
Apna Dal,Q4780027
JD(U),Q904827
SDF,Q2285614
AINRC,Q1166149
NPP,Q6974870
RSP,Q1635587
CPI,Q837159
PMK,Q1887353
NPF,Q3277586
SWP,Q7652855
AIMIM,Q2837501
KC(M),Q3595134
