id,name,given_name,family_name,sort_name,gender,image
omer-soyer-kalyoncu,Ömer Soyer Kalyoncu,Ömer Soyer,Kalyoncu,"Kalyoncu, Ömer Soyer",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/omer-kalyoncu.jpg
onder-sennaroglu,Önder Sennaroğlu,Önder,Sennaroğlu,"Sennaroğlu, Önder",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/onder-sennaroglu.jpg
ozdemir-berova,Özdemir Berova,Özdemir,Berova,"Berova, Özdemir",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ozdemir-berova.jpg
ozdil-nami,Özdil Nami,Özdil,Nami,"Nami, Özdil",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ozdil-nami.jpg
ozkan-yorgancioglu,Özkan Yorgancıoğlu,Özkan,Yorgancıoğlu,"Yorgancıoğlu, Özkan",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ozkan-yorgancioglu.jpg
salih-izbul,Salih İzbul,Salih,İzbul,"İzbul, Salih",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/salih-izbul.jpg
serdar-denktas,Serdar Denktaş,Serdar,Denktaş,"Denktaş, Serdar",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/serdar-denktas.jpg
sibel-siber,Sibel Siber,Sibel,Siber,"Siber, Sibel",female,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/sibel-siber.jpg
sunat-atun,Sunat Atun,Sunat,Atun,"Atun, Sunat",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/sunat-atun.jpg
tahsin-ertugruloglu,Tahsin Ertuğruloğlu,Tahsin,Ertuğruloğlu,"Ertuğruloğlu, Tahsin",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/tahsin-ertugruloglu.jpg
teberruken-ulucay,Teberrüken Uluçay,Teberrüken,Uluçay,"Uluçay, Teberrüken",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/teberruken-ulucay.jpg
tufan-erhurman,Tufan Erhürman,Tufan,Erhürman,"Erhürman, Tufan",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/tufan-erhurman.jpg
unal-ustel,Ünal Üstel,Ünal,Üstel,"Üstel, Ünal",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/unal-ustel.jpg
zeki-celer,Zeki Çeler,Zeki,Çeler,"Çeler, Zeki",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/zeki-celer.jpg
zorlu-tore,Zorlu Töre,Zorlu,Töre,"Töre, Zorlu",male,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/zorlu-tore.jpg
