id,name,start_date,end_date,source
5,5th Assembly,2015-11-17,,http://www.parliament.go.tz/hansards-list
4,4th Assembly,2010-10-31,2015-06-18,http://www.parliament.go.tz/hansards-list
3,3rd Assembly,2005-10-30,2010-10-30
2,2nd Assembly,2000-10-29,2005-10-29
