id,name,image,party,party_id,area,term,source
261,Virgínia baesa cabral Gonçalves,http://www.parlamento.cv/DepImag.aspx?CodDeputado=261,PAICV,PAICV,Santiago Norte,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=261
262,Fernando Lopes Robalo,http://www.parlamento.cv/DepImag.aspx?CodDeputado=262,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=262
263,Justiniano Jorge Lopes de Sena,http://www.parlamento.cv/DepImag.aspx?CodDeputado=263,PAICV,PAICV,Santiago Norte,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=263
264,Nuias Mendes Barbosa Silva,http://www.parlamento.cv/DepImag.aspx?CodDeputado=264,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=264
265,Armindo Cipriano Maurício,http://www.parlamento.cv/DepImag.aspx?CodDeputado=265,PAICV,PAICV,Santo Antão,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=265
266,Carlos Alberto Delgado,http://www.parlamento.cv/DepImag.aspx?CodDeputado=266,PAICV,PAICV,Santo Antão,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=266
267,Carlos Antonio Silva Ramos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=267,PAICV,PAICV,São Nicolau,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=267
268,Filomena de Fátima Ribeiro Vieira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=268,PAICV,PAICV,São Vicente,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=268
269,Arnaldo Andrade Ramos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=269,PAICV,PAICV,Europa,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=269
270,Alcídio José Gonçalves Tavares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=270,PAICV,PAICV,Santiago Norte,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=270
271,José Manuel Sanches Tavares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=271,PAICV,PAICV,Santiago Norte,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=271
272,Pedro Amante de Ramiro Furtado,http://www.parlamento.cv/DepImag.aspx?CodDeputado=272,PAICV,PAICV,Santiago Norte,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=272
273,Susete Soares Muniz,http://www.parlamento.cv/DepImag.aspx?CodDeputado=273,PAICV,PAICV,Santiago Norte,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=273
274,Cláudia Sofia Marques Rodrigues,http://www.parlamento.cv/DepImag.aspx?CodDeputado=274,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=274
275,Dúnia Alice Monteiro Moreira de Almeida Pereira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=275,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=275
276,Euclides Vaz Cardoso Centeio,http://www.parlamento.cv/DepImag.aspx?CodDeputado=276,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=276
277,Graça Maria Lopes de Carvalho Sanches,http://www.parlamento.cv/DepImag.aspx?CodDeputado=277,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=277
278,Maria Fernanda Mendes Varela,http://www.parlamento.cv/DepImag.aspx?CodDeputado=278,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=278
279,Joselito Monteiro Fonseca,http://www.parlamento.cv/DepImag.aspx?CodDeputado=279,PAICV,PAICV,Santo Antão,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=279
280,Paulo Noel Rendall de Oliveira Martins,http://www.parlamento.cv/DepImag.aspx?CodDeputado=280,PAICV,PAICV,São Vicente,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=280
281,Afonso Silva Mendes da Fonseca,http://www.parlamento.cv/DepImag.aspx?CodDeputado=281,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=281
