id,start_date,end_date,name
6,2015,2020,6th National Assembly: 2015 - 2020
5,2010,2015,5th National Assembly: 2010 - 2015
4,2005,2010,4th National Assembly: 2005 - 2010
3,2000,2005,3rd National Assembly: 2000 - 2005
2,1995,2000,2nd National Assembly: 1995 - 2000
1,1990,1995,1st National Assembly: 1990 - 1995
0,1989,1990,Constituent Assembly: 1989 - 1990
