id,name,position,start_date,end_date
51704345-f3a1-4eae-912a-85a06bd14622,Abdullah Gül,President of Turkey,2007-08-28,2014-08-28
51704345-f3a1-4eae-912a-85a06bd14622,Abdullah Gül,Prime Minister of Turkey,2002-11-18,2003-03-14
51704345-f3a1-4eae-912a-85a06bd14622,Abdullah Gül,Deputy Prime Minister of Turkey,2003-03-28,2007-08-28
850865d9-a91f-4e2c-a329-4db339630fb7,Ahmet Davutoğlu,Prime Minister of Turkey,2014-08-28,
a316c6c3-7cf1-4807-937d-a87a0886e8a5,Ali Atalan,member of the Landtag of North Rhine-Westphalia,,
1f627461-0944-41d3-a886-a2395424d062,Ali Babacan,Deputy Prime Minister of Turkey,,
1f627461-0944-41d3-a886-a2395424d062,Ali Babacan,Minister of State,,
bfec1a4e-26c7-4ab9-8832-7e07c46d9f69,Binali Yıldırım,Prime Minister of Turkey,2016-05-24,
c25b1f9d-9104-455b-9bc0-d9492cb16111,Bülent Ecevit,Prime Minister of Turkey,1974-01-26,1974-11-17
c25b1f9d-9104-455b-9bc0-d9492cb16111,Bülent Ecevit,Prime Minister of Turkey,1977-06-21,1977-07-21
c25b1f9d-9104-455b-9bc0-d9492cb16111,Bülent Ecevit,Prime Minister of Turkey,1978-01-05,1979-11-12
c25b1f9d-9104-455b-9bc0-d9492cb16111,Bülent Ecevit,Prime Minister of Turkey,1999-01-11,2002-11-18
c25b1f9d-9104-455b-9bc0-d9492cb16111,Bülent Ecevit,Deputy Prime Minister of Turkey,1997-06-30,1999-01-11
e60d8517-4183-44e9-8cf3-49f4966f8d59,Feleknas Uca,member of the European Parliament,,
db08d710-842c-4e21-8b7a-5f388a147c70,Mesut Yılmaz,Prime Minister of Turkey,1997-06-30,1999-01-11
db08d710-842c-4e21-8b7a-5f388a147c70,Mesut Yılmaz,Deputy Prime Minister of Turkey,1999-05-28,2002-11-18
97c30e2d-aa11-4b98-9b19-7873a6e4b580,Mustafa Kemal Paşa,President of Turkey,,
8eb878de-9491-47b1-b5a0-a01675095109,Recep Tayyip Erdoğan,President of Turkey,2014-08-28,
8eb878de-9491-47b1-b5a0-a01675095109,Recep Tayyip Erdoğan,Prime Minister of Turkey,2003-03-14,2014-08-28
d493f63d-29fd-47ea-86be-cfb81239c06c,Refik Koraltan,Speaker of the Grand National Assembly of Turkey,1950-05-22,1960-05-27
3c495593-df52-4b97-bdb1-87e7c32f38b8,Süleyman Demirel,President of Turkey,1993-05-16,2000-05-16
3c495593-df52-4b97-bdb1-87e7c32f38b8,Süleyman Demirel,Prime Minister of Turkey,1991-11-20,1993-05-16
e263b3b5-38d1-4d48-b098-35927318f8d2,Tansu Çiller,Prime Minister of Turkey,,
dbf83637-216e-4791-9039-9c5596865224,Turgut Özal,Prime Minister of Turkey,1983-12-13,1989-10-31
dbf83637-216e-4791-9039-9c5596865224,Turgut Özal,President of Turkey,1989-11-09,1993-04-17
dbf83637-216e-4791-9039-9c5596865224,Turgut Özal,Deputy Prime Minister of Turkey,1980-09-20,1982-07-14
96e3a636-f765-4837-be87-acd2727c0b6d,İsmail Kahraman,Speaker of the Grand National Assembly of Turkey,2015-11-22,
96e3a636-f765-4837-be87-acd2727c0b6d,İsmail Kahraman,Minister of Culture and Tourism,1996-06-28,1997-06-30
232969f0-4e4e-4fdd-adc8-d406cea62550,İsmail Nihat Erim,Prime Minister of Turkey,,
232969f0-4e4e-4fdd-adc8-d406cea62550,İsmail Nihat Erim,Deputy Prime Minister of Turkey,,
232969f0-4e4e-4fdd-adc8-d406cea62550,İsmail Nihat Erim,Public works minister,,
0f6a5be4-39cb-404f-b94a-aecc5753fb56,İsmet İnönü,President of Turkey,,
0f6a5be4-39cb-404f-b94a-aecc5753fb56,İsmet İnönü,Prime Minister of Turkey,1923-11-01,1924-11-22
