id,name,position,start_date,end_date
621df3ec-7b6d-4c56-9a65-3d9a3d6c73ab,Lars Løkke Rasmussen,Minister of Health,2001-11-27,2011-11-23
621df3ec-7b6d-4c56-9a65-3d9a3d6c73ab,Lars Løkke Rasmussen,Speaker of the Folketing,2009-05-17,
621df3ec-7b6d-4c56-9a65-3d9a3d6c73ab,Lars Løkke Rasmussen,Prime Minister of Denmark,2015-06-28,
4c9a4903-77d0-4c10-9fba-edbe94b5d416,Lars-Emil Johansen,Prime Minister of Greenland,1991-03-18,1997-09-19
fd0812d4-40c0-4d3e-8cf7-da076ac6aede,Lene Espersen,Minister of Foreign Affairs,,
afbaa885-a828-4115-97cf-cb0108fda3bf,Lilli Gyldenkilde,member of the European Parliament,,
36e7c717-b90b-42be-9ed2-5370b93e86bf,Lone Dybkjær,member of the European Parliament,,
9bdcd0a4-8206-41f5-9a52-06c81093612f,Magnus Heunicke,Danish Minister of Transport,,
39399ea1-ae32-4995-afa3-8309129920dc,Margrete Auken,member of the European Parliament,,
48632cc4-f705-4b51-8f6e-51d829858b09,Margrethe Vestager,Education Minister of Denmark,,
830c8751-5064-42f1-bd16-0755551185a5,Mogens Camre,member of the European Parliament,,
3b42c481-3385-4a30-a97a-195b9de44fec,Mogens Lykketoft,Minister of Foreign Affairs,2000-12-21,2001-11-27
3b42c481-3385-4a30-a97a-195b9de44fec,Mogens Lykketoft,Finance Minister of Denmark,1993-01-25,2000-12-21
3b42c481-3385-4a30-a97a-195b9de44fec,Mogens Lykketoft,President of the United Nations General Assembly,2015-09-16,
6fae4bd0-5c16-431f-8d5f-1cdb3ad0e3a6,Morten Helveg Petersen,member of the European Parliament,,
255d91c5-698c-48ab-bbe5-9a77844758c0,Morten Løkkegaard,member of the European Parliament,,
f5f06869-cdaa-4c85-8dbd-264c46242096,Morten Messerschmidt,member of the European Parliament,,
241f6900-43d2-4b24-aa0d-1924933bebcf,Nick Hækkerup,Defence Minister of Denmark,,
241f6900-43d2-4b24-aa0d-1924933bebcf,Nick Hækkerup,Minister of Health,,
c7c196e6-8ffa-4514-becd-87656f6b58ff,Nicolai Wammen,Defence Minister of Denmark,,
81714b8d-10bf-4926-ba75-7437788a9bac,Niels Anker Kofoed,member of the European Parliament,,
d78ed767-26ba-4ba2-a4b8-b5f23561e4b2,Niels Helveg Petersen,Minister of Foreign Affairs,,
cd4b89e7-44c3-475a-ab1b-35092ebd02cf,Niels Sindal,member of the European Parliament,,
222145b1-fc36-4443-8873-33b398edfee2,Ole Espersen,member of the European Parliament,,
f0814585-b9a7-4fc4-9b5c-6c4e09f0c153,Ole Stavad,President of the Nordic Council,2006-01-01,2006-12-31
cb6142fb-12f1-4b7b-beb2-afafe9673ae0,Ove Fich,member of the European Parliament,,
2f87f6b8-70cf-4996-95dd-77eff1e2efd4,Pernille Frahm,member of the European Parliament,,
2cc606d6-0825-4327-9538-2d832409e09b,Peter Christensen,Defence Minister of Denmark,,
d8f4e819-9761-484b-8b17-0beb051b01f9,Peter Duetoft,member of the European Parliament,,
b47d0c42-8277-4e64-94bf-06a3432f9609,Pia Olsen Dyhr,Danish Minister of Transport,2013-08-09,2014-02-03
b5190d37-c28d-4291-8659-38446d4a3f76,Poul Nyrup Rasmussen,Prime Minister of Denmark,1993-01-25,2001-11-27
b5190d37-c28d-4291-8659-38446d4a3f76,Poul Nyrup Rasmussen,member of the European Parliament,,
e4036532-3459-40c1-b386-53151f278aac,Poul Schlüter,member of the European Parliament,,
e4036532-3459-40c1-b386-53151f278aac,Poul Schlüter,Prime Minister of Denmark,1982-09-10,1993-01-25
e4036532-3459-40c1-b386-53151f278aac,Poul Schlüter,Justice Minister of Denmark,1989-10-03,1989-10-05
702e5547-be65-479a-ab2e-0a674ed64591,Sonja Mikkelsen,Minister of Health,,
64417b26-9ea8-453d-a19e-121136fc0d26,Svend Aage Jensby,Defence Minister of Denmark,,
22133225-b5fc-47ab-a01a-a1353fd8fa89,Svend Erik Hovmand,President of the Nordic Council,2001-01-01,2001-12-31
d1199cf3-965e-4816-8940-2da5179ad1e0,Søren Gade,Defence Minister of Denmark,2004-04-24,2010-02-22
8a0e144e-8552-4cd0-b93a-6e888c81537d,Søren Søndergaard,member of the European Parliament,,
85e8c354-2336-4d20-aa86-81c549511d24,Thor Pedersen,Finance Minister of Denmark,,
b2c1b608-5e9f-4cd6-b659-7b6d21b590e4,Torben Lund,member of the European Parliament,,
b2c1b608-5e9f-4cd6-b659-7b6d21b590e4,Torben Lund,Minister of Health,,
6f01f6f3-29fb-48a5-8658-665602b6943c,Uffe Ellemann-Jensen,Minister of Foreign Affairs,1982-09-10,1993-01-25
cf6899e5-c7a1-4e57-9774-9dbb86f8f605,Ulla Sandbæk,member of the European Parliament,,
cf44187b-bdb0-4fe2-b0e8-723d7a90339c,Ulla Tørnæs,member of the European Parliament,,
cf44187b-bdb0-4fe2-b0e8-723d7a90339c,Ulla Tørnæs,Education and Research Minister,2016-02-29,
d810f838-1cba-4548-adcf-9b92544423a3,Villy Søvndal,Minister of Foreign Affairs,,
3bf2f1d3-1d91-4144-b726-562628a7d1b8,Yvonne Herløv Andersen,Minister of Health,,
