id,name,start_date,end_date
1995,Alþingi 1995,1995,1999
1999,Alþingi 1999,1999,2003
2003,Alþingi 2003,2003,2007
2007,Alþingi 2007,2007,2009
2009,Alþingi 2009,2009,2013-04-27
2013,Alþingi 2013,2013-04-27,
