id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
bf2aee9b-a256-4bcd-8bc8-0d9cb89f10c3,Julião Correia Varela,Julião Correia Varela,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=338,
396b7bb6-a594-4434-bc92-420e27f8e754,Júlio Lopes Correia,Júlio Lopes Correia,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=390,
e67df9dc-e6ed-493d-8f05-61f21dadc033,Luís Carlos dos Santos Silva,Luís Carlos dos Santos Silva,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=362,
8951607c-bb39-4192-9bc7-9e274377339f,Lúcia Maria Mendes Gonçalves dos Passos,Lúcia Maria Mendes Gonçalves dos Passos,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=320,
41c19336-291f-47bc-b1e0-23df68ccb7a7,Manuel Inocêncio Sousa,Manuel Inocêncio Sousa,,,,PAICV,PAICV,area/são_vicente,São Vicente,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=340,
402a5c03-d558-487d-9983-f1f331af1da8,Maria Celeste Fonseca,Maria Celeste Fonseca,,,,MPD,MPD,area/são_vicente,São Vicente,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=321,
b5dc68c7-2477-4c52-ad8c-b094d33d5a54,Miguel Pedro Sousa Monteiro,Miguel Pedro Sousa Monteiro,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=393,
c7b22fef-e971-40c6-a693-1642f48c7b70,Mircéia Isidora Araújo Delgado,Mircéia Isidora Araújo Delgado,,,,MPD,MPD,area/são_vicente,São Vicente,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=322,
f757d849-973c-4359-84f9-4078f2d6ce5d,Moisés António do Espírito Santo Tavares Borges,Moisés António do Espírito Santo Tavares Borges,,,,PAICV,PAICV,area/santiago_norte,Santiago Norte,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=342,
b269ce91-6ebc-4304-9940-97e6d7f7bf43,Nelson do Rosário de Brito,Nelson do Rosário de Brito,,,,MPD,MPD,area/são_nicolau,São Nicolau,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=323,
5cd997bc-6082-409b-b4ad-8bc6baeed0d9,Nilda Maria Gonçalves de Pina Fernandes,Nilda Maria Gonçalves de Pina Fernandes,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=341,
34aafccf-c006-4d3f-a2ab-5df63be62b4f,Nuías Mendes Barbosa da Silva,Nuías Mendes Barbosa da Silva,,,,PAICV,PAICV,area/fogo,Fogo,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=343,
4a53d0bc-5076-460b-9cb5-12cd9df33bbd,Odailson Jorge da Luz Bandeira,Odailson Jorge da Luz Bandeira,,,,PAICV,PAICV,area/santo_antão,Santo Antão,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=344,
1c7131e4-a761-46fb-97aa-46b4a6b8e041,Orlando Pereira Dias,Orlando Pereira Dias,,,,MPD,MPD,area/África,África,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=354,
c85d90eb-42f1-4ef1-ad4e-27a0f935b489,Paulo Jorge Lima Veiga,Paulo Jorge Lima Veiga,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=359,
c67d8dae-22bc-4c0a-921a-ba1377ae1393,Rui Alberto de Figueiredo Soares,Rui Alberto de Figueiredo Soares,,,,MPD,MPD,area/são_vicente,São Vicente,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=324,
6e0cb299-a7a7-4668-a504-798196a8d920,Rui Mendes Semedo,Rui Mendes Semedo,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=363,
d6b702c3-8326-41a4-bc76-02228c4b6ab3,Vera Helena Pires Almeida da Cruz,Vera Helena Pires Almeida da Cruz,,,,PAICV,PAICV,area/santo_antão,Santo Antão,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=345,
0e2b5186-eab9-464a-a3e6-5552cc88261e,Walter Emanuel da Silva Évora,Walter Emanuel da Silva Évora,,,,PAICV,PAICV,area/boa_vista,Boa Vista,Assembleia Nacional,9,,,http://www.parlamento.cv/DepImag.aspx?CodDeputado=346,
