name,suplente,area,party,image,term,source
H.D. NORIEL SALERNO ESTEVEZ,"Castillo Bernal, Noriel Abdiel",2-4,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_NORIEL_SALERNO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. CARLOS ELICEO SANTANA AIZPRUA,"SANTANA, CARLOS A",9-1,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/hd_carlos_santana_pwc.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JUAN BAUTISTA SERRANO JIMENEZ,"Pérez Famanía, Jacobo",4-4,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/hd_juan_serrano_pwc.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. GABRIEL SOTO MARTINEZ,"Toribio Samaniego, Luis Adriano",8-1,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_GABRIEL_SOTO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ADOLFO T. VALDERRAMA RODRIGUEZ,"Tejada Pérez, Santiago Alexis",8-7,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/H.D%20ADOLFO%20VALDERRAMA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. HECTOR VALDES CARRASQUILLA,"Lee Vásquez, Víctor Manuel",8-6,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_HECTOR_VALDES_CARRASQUILLA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARYLIN E. VALLARINO DE SELLHORN,"Sellhorn Carrillo, Agustín R.",8-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_MARYLIN_VALLARINO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JOSE LUIS VARELA RODRIGUEZ,"Arosemena Athanasiadis, Alberto Aristides",6-2,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/H.D%20JOSE_LUIS%20VARELA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. FELIPE VARGAS VARGAS,"Paz, Eduardo",5-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_FELIPE_VARGAS_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARIELA DEL C. VEGA DE DONOSO,"Nelson Domínguez, Mario Eliecer",7-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/H.D%20MARIELA_VEGA2_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. AIBAN JESUS VELARDE,"Bolívar, Alex",10-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_AIBAN_VELARDE_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. DIOGENES VERGARA,"Navarro De Gracia, Milciades Osvaldo",8-10,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_DIOGENES_VERGARA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. EDWIN ALBERTO ZUÑIGA,"Gálvez Trujillo, Lucio",8-10,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/H.D%20EDWIN_ZUNIGA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
