party,page_id,district,term_id,image,name,region,details_url,chamber,term
Indépendant,houssene-abdallah,Soalala,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/25.jpg,HOUSSENE Abdallah,Boeny,http://www.assemblee-nationale.mg/?depute=houssene-abdallah,National Assembly,2013
Indépendant,ijo,Taolagnaro,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/26.jpg,IJO,Anosy,http://www.assemblee-nationale.mg/?depute=ijo,National Assembly,2013
M. RAVALOMANANA,jean-francois-michel,Antsirabe I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/27.jpg,JEAN FRANCOIS Michel,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=jean-francois-michel,National Assembly,2013
MTS,jean-daniel,Bekily,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/28.jpg,JEAN Daniel,Androy,http://www.assemblee-nationale.mg/?depute=jean-daniel,National Assembly,2013
MAPAR,kathy,Manajary,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/29.jpg,KATHY -,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=kathy,National Assembly,2013
Indépendant,laisoa-jean-pierre,Antalaha,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/30.jpg,LAISOA Jean Pierre,Sava,http://www.assemblee-nationale.mg/?depute=laisoa-jean-pierre,National Assembly,2013
Indépendant,levao-nitadiavina,Marolambo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/31.jpg,LEVAO Nitadiavina,Atsinanana,http://www.assemblee-nationale.mg/?depute=levao-nitadiavina,National Assembly,2013
Indépendant,liahosoa-malement,Ampanihy Andrefana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/32.jpg,LIAHOSOA Malement,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=liahosoa-malement,National Assembly,2013
Indépendant,lylyette-rene-de-roland,Befandriana Avaratra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/33.jpg,LYLYETTE René de Roland,Sofia,http://www.assemblee-nationale.mg/?depute=lylyette-rene-de-roland,National Assembly,2013
MAPAR,maharamby-ndalana-esperant,Antanambao Manampotsy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/34.jpg,MAHARAMBY Ndalana Espérant,Atsinanana,http://www.assemblee-nationale.mg/?depute=maharamby-ndalana-esperant,National Assembly,2013
MAPAR,maharante-rakotonandrasana-rakotonandrasana-jean-de-dieu,Toliary I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/35.jpg,RAZAHA Tondraha,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=maharante-rakotonandrasana-rakotonandrasana-jean-de-dieu,National Assembly,2013
Indépendant,mahasoazy-mananjara-freddie-richard-mananjara-freddie-richard,Antsiranana I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/36.jpg,MAHAZOASY Mananjara Freddie Richard,Sava,http://www.assemblee-nationale.mg/?depute=mahasoazy-mananjara-freddie-richard-mananjara-freddie-richard,National Assembly,2013
Indépendant,mamangy-norbert,Sambava,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/37.jpg,MAMANGY Norbert,Sava,http://www.assemblee-nationale.mg/?depute=mamangy-norbert,National Assembly,2013
MAPAR,mamodali-hawel,Morondava,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/38.jpg,MAMOD’ALI Hawel,Menabe,http://www.assemblee-nationale.mg/?depute=mamodali-hawel,National Assembly,2013
