id,wikidata
sd,Q499029
kesk,Q506591
kok,Q304191
vas,Q385927
ps,Q634277
vihr,Q196695
r,Q845537
kd,Q1138982
Demokraattinen vaihtoehto,Q540982
Vasemmistoryhmä,Q18675418
Vasenryhmän eduskuntaryhmä,Q11900616
Remonttiryhmä,Q15117358
Suomen maaseudun puolueen eduskuntaryhmä,Q1854411
Eduskuntaryhmä Nuorsuomalaiset ja Risto Kuisma,Q8058120
m11,Q18675318
