id,name,start_date,end_date,source
2015,8th National Assembly,2015-05-14,,https://en.wikipedia.org/wiki/National_Assembly_(Saint_Kitts_and_Nevis)
2010,7th National Assembly,2010-03-10,2015-01-16,
2004,6th National Assembly,2004-10-26,2010,
2000,5th National Assembly,2000,2004,
1995,4th National Assembly,1995,2000,
1993,3rd National Assembly,1993,1995,
1989,2nd National Assembly,1989,1993,
1984,1st National Assembly,1984,1989,
