name,party_id,constituency,wikiname,term
Kalle Jokinen,kok,Hämeen vaalipiiri,Kalle Jokinen,37
Kari Kulmala,ps,Savo-Karjalan vaalipiiri,Kari Kulmala,37
Kari Tolvanen,kok,Uudenmaan vaalipiiri,Kari Tolvanen,37
Kari Uotila,vas,Uudenmaan vaalipiiri,Kari Uotila,37
Katja Hänninen,vas,Oulun vaalipiiri,Katja Hänninen,37
Katja Taimela,sd,Varsinais-Suomen vaalipiiri,Katja Taimela,37
Katri Kulmuni,kesk,Lapin vaalipiiri,Katri Kulmuni,37
Kauko Juhantalo,kesk,Satakunnan vaalipiiri,Kauko Juhantalo,37
Kike Elomaa,ps,Varsinais-Suomen vaalipiiri,Kike Elomaa,37
Kimmo Kivelä,ps,Savo-Karjalan vaalipiiri,Kimmo Kivelä,37
Kimmo Tiilikainen,kesk,Kaakkois-Suomen vaalipiiri,Kimmo Tiilikainen,37
Krista Kiuru,sd,Satakunnan vaalipiiri,Krista Kiuru,37
Krista Mikkonen,vihr,Savo-Karjalan vaalipiiri,Krista Mikkonen,37
Kristiina Salonen,sd,Satakunnan vaalipiiri,Kristiina Salonen,37
Lasse Hautala,kesk,Vaasan vaalipiiri,Lasse Hautala,37
Laura Huhtasaari,ps,Satakunnan vaalipiiri,Laura Huhtasaari,37
Lauri Ihalainen,sd,Keski-Suomen vaalipiiri,Lauri Ihalainen,37
Lea Mäkipää,ps,Pirkanmaan vaalipiiri,Lea Mäkipää,37
Leena Meri,ps,Uudenmaan vaalipiiri,Leena Meri,37
Lenita Toivakka,kok,Kaakkois-Suomen vaalipiiri,Lenita Toivakka,37
Li Andersson,vas,Varsinais-Suomen vaalipiiri,Li Andersson,37
Maarit Feldt-Ranta,sd,Uudenmaan vaalipiiri,Maarit Feldt-Ranta,37
Mari-Leena Talvitie,kok,Oulun vaalipiiri,Mari-Leena Talvitie,37
Maria Guzenina,sd,Uudenmaan vaalipiiri,Maria Guzenina,37
Maria Lohela,ps,Varsinais-Suomen vaalipiiri,Maria Lohela,37
Maria Tolppanen,ps,Vaasan vaalipiiri,Maria Tolppanen,37
Marisanna Jarva,kesk,Oulun vaalipiiri,Marisanna Jarva,37
Markku Eestilä,kok,Savo-Karjalan vaalipiiri,Markku Eestilä,37
Markku Pakkanen,kesk,Kaakkois-Suomen vaalipiiri,Markku Pakkanen,37
Markku Rossi,kesk,Savo-Karjalan vaalipiiri,Markku Rossi,37
Markus Lohi,kesk,Lapin vaalipiiri,Markus Lohi,37
