id,name,start_date,end_date,source
9,9th Parliament,2011-05-16,2016-05-13,https://en.wikipedia.org/wiki/Parliament_of_Uganda
10,10th Parliament,2016-05-16,,https://en.wikipedia.org/wiki/Ugandan_general_election,_2016
