name,wikiname,party,party_wikiname,term,start_date,end_date,id
Lutz Jacobi,Lutz Jacobi,PvdA,Partij van de Arbeid (Nederland),2012,,,lutz_jacobi
Machiel de Graaf,Machiel de Graaf,PVV,Partij voor de Vrijheid,2012,,,machiel_de_graaf
Madeleine van Toorenburg,Madeleine van Toorenburg,CDA,Christen-Democratisch Appèl,2012,,,madeleine_van_toorenburg
Magda Berndsen,Magda Berndsen,D66,Democraten 66,2012,,,magda_berndsen
Malik Azmani,Malik Azmani,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,malik_azmani
Manja Smits,Manja Smits (politica),SP,Socialistische Partij (Nederland),2012,,,manja_smits
Manon Fokke,Manon Fokke,PvdA,Partij van de Arbeid (Nederland),2012,,,manon_fokke
Marianne Thieme,Marianne Thieme,Partij voor de Dieren,Partij voor de Dieren,2012,,,marianne_thieme
Marit Maij,Marit Maij,PvdA,Partij van de Arbeid (Nederland),2012,,,marit_maij
Marith Volp,Marith Volp,PvdA,Partij van de Arbeid (Nederland),2012,,,marith_volp
Mariëtte Hamer,Mariëtte Hamer,PvdA,Partij van de Arbeid (Nederland),2012,,,mariëtte_hamer
Mark Harbers,Mark Harbers,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,mark_harbers
Mark Rutte,Mark Rutte,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,mark_rutte
Mark Verheijen,Mark Verheijen,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,mark_verheijen
Martijn van Dam,Martijn van Dam,PvdA,Partij van de Arbeid (Nederland),2012,,,martijn_van_dam
Martijn van Helvert,Martijn van Helvert,CDA,Christen-Democratisch Appèl,2012,,,martijn_van_helvert
Martin Bosma,Martin Bosma,PVV,Partij voor de Vrijheid,2012,,,martin_bosma
Martine Baay-Timmerman,Martine Baay-Timmerman,50Plus,50Plus,2012,,,martine_baay-timmerman
Matthijs Huizing,Matthijs Huizing,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,matthijs_huizing
Mei Li Vos,Mei Li Vos,PvdA,Partij van de Arbeid (Nederland),2012,,,mei_li_vos
Michel Rog,Michel Rog,CDA,Christen-Democratisch Appèl,2012,,,michel_rog
Michiel Servaes,Michiel Servaes,PvdA,Partij van de Arbeid (Nederland),2012,,,michiel_servaes
Michiel van Nispen,Michiel van Nispen,SP,Socialistische Partij (Nederland),2012,,,michiel_van_nispen
