name,twitter,area,source,id
Chris Alexander,@calxandr,Ajax—Pickering,http://politwitter.ca/user/calxandr,@calxandr
Corneliu Chisu,@cchisu,Pickering—Scarboro,http://politwitter.ca/user/cchisu,@cchisu
Cheryl Gallant,@cherylgallant,RenfrewNipissing,http://politwitter.ca/user/cherylgallant,@cherylgallant
Chris Charlton,@chrischarltonmp,Hamilton Mountain,http://politwitter.ca/user/chrischarltonmp,@chrischarltonmp
Christian Paradis,@christianparad,Mégantic—L'Érabl,http://politwitter.ca/user/christianparad,@christianparad
Chris Warkentin,@chriswarkentin,Peace River,http://politwitter.ca/user/chriswarkentin,@chriswarkentin
Claude Patry,@claude_patry,Jonquière—Alma,http://politwitter.ca/user/claude_patry,@claude_patry
Ryan Cleary,@clearyndp,St. John's South—M,http://politwitter.ca/user/clearyndp,@clearyndp
Dan Harris,@danharrisndp,Scarborough Southwes,http://politwitter.ca/user/danharrisndp,@danharrisndp
Daryl Kramp,@darylkramp,Prince Edward—Hast,http://politwitter.ca/user/darylkramp,@darylkramp
David Tilson,@davidtilson,Dufferin—Caledon,http://politwitter.ca/user/davidtilson,@davidtilson
Deepak Obhrai,@deepakobhrai,Calgary East,http://politwitter.ca/user/deepakobhrai,@deepakobhrai
Denise Savoie,@denisesavoie,Nicolet-Yamaska,http://politwitter.ca/user/denisesavoie,@denisesavoie
Diane Ablonczy,@dianeablonczymp,Calgary—Nose Hill,http://politwitter.ca/user/dianeablonczymp,@dianeablonczymp
Dany Morin,@drdanymorin,Chicoutimi—Le Fjor,http://politwitter.ca/user/drdanymorin,@drdanymorin
Earl Dreeshen,@earl_dreeshen,Red Deer,http://politwitter.ca/user/earl_dreeshen,@earl_dreeshen
David Wilks,@electdavidwilks,Kootenay—Columbia,http://politwitter.ca/user/electdavidwilks,@electdavidwilks
Élaine Michaud,@emichaudNPD,Portneuf—Jacques-C,http://politwitter.ca/user/emichaudNPD,@emichaudNPD
Ève Péclet,@evepeclet,La Pointe-de-l'Île,http://politwitter.ca/user/evepeclet,@evepeclet
Françoise Boivin,@fboivinnpd,Gatineau,http://politwitter.ca/user/fboivinnpd,@fboivinnpd
Jean-François Fortin,@fortjf,Haute-Gaspésie—La,http://politwitter.ca/user/fortjf,@fortjf
François Pilon,@francoispilon,Laval—Les Îles,http://politwitter.ca/user/francoispilon,@francoispilon
Geoff Regan,@geoffregan,Halifax West,http://politwitter.ca/user/geoffregan,@geoffregan
Gordon Brown,@gordbrown,Leeds—Grenville,http://politwitter.ca/user/gordbrown,@gordbrown
Hoang Mai,@hoangmai_npd,Brossard—La Prairi,http://politwitter.ca/user/hoangmai_npd,@hoangmai_npd
Irene Mathyssen,@irenemathyssen,London—Fanshawe,http://politwitter.ca/user/irenemathyssen,@irenemathyssen
James Bezan,@jamesbezan,Selkirk—Interlake,http://politwitter.ca/user/jamesbezan,@jamesbezan
James Lunney,@jameslunneymp,Nanaimo—Alberni,http://politwitter.ca/user/jameslunneymp,@jameslunneymp
Jasbir Sandhu,@jasbirsandhu,Surrey North,http://politwitter.ca/user/jasbirsandhu,@jasbirsandhu
Jim Hillyer,@jimhillyer,Lethbridge,http://politwitter.ca/user/jimhillyer,@jimhillyer
Jim Karygiannis,@jimkarygiannis,Scarborough—Aginco,http://politwitter.ca/user/jimkarygiannis,@jimkarygiannis
Jinny Sims,@jinnysims,Newton—North Delta,http://politwitter.ca/user/jinnysims,@jinnysims
Joe Comartin,@joecomartin,Windsor—Tecumseh,http://politwitter.ca/user/joecomartin,@joecomartin
Joe Oliver,@joeoliver1,Eglinton—Lawrence,http://politwitter.ca/user/joeoliver1,@joeoliver1
John Weston,@johnwestonmp,West Vancouver—Sun,http://politwitter.ca/user/johnwestonmp,@johnwestonmp
Joyce Murray,@joycemurray,Vancouver Quadra,http://politwitter.ca/user/joycemurray,@joycemurray
Kennedy Stewart,@kennedystewart,Burnaby—Douglas,http://politwitter.ca/user/kennedystewart,@kennedystewart
Jason Kenney,@kenneyjason,Jeanne-Mance-Viger,http://politwitter.ca/user/kenneyjason,@kenneyjason
Laurin Liu,@laurinliu,Rivire-des-Mille-,http://politwitter.ca/user/laurinliu,@laurinliu
Leona Aglukkaq,@leonaaglukkaq,Nunavut,http://politwitter.ca/user/leonaaglukkaq,@leonaaglukkaq
Lisa Raitt,@lraitt,Halton,http://politwitter.ca/user/lraitt,@lraitt
Mark Strahl,@markstrahl,Chilliwack—Fraser ,http://politwitter.ca/user/markstrahl,@markstrahl
Charmaine Borg,@mpcharmaineborg,Terrebonne—Blainvi,http://politwitter.ca/user/mpcharmaineborg,@mpcharmaineborg
Dean Del Mastro,@mpdeandelmastro,Peterborough,http://politwitter.ca/user/mpdeandelmastro,@mpdeandelmastro
Eve Adams,@mpeveadams,Mississauga—Brampt,http://politwitter.ca/user/mpeveadams,@mpeveadams
Lois Brown,@mploisbrown,Newmarket—Aurora,http://politwitter.ca/user/mploisbrown,@mploisbrown
Mike Allen,@mpmikea,Tobique—Mactaquac,http://politwitter.ca/user/mpmikea,@mpmikea
Nathan Cullen,@nathancullen,Skeena—Bulkley Val,http://politwitter.ca/user/nathancullen,@nathancullen
Niki Ashton,@nikiashton,Nelligan,http://politwitter.ca/user/nikiashton,@nikiashton
Dennis Bevington,@nwtdennis,Western Arctic,http://politwitter.ca/user/nwtdennis,@nwtdennis
Nycole Turmel,@nycole_turmel,Hull—Aylmer,http://politwitter.ca/user/nycole_turmel,@nycole_turmel
Paulina Ayala,@paulinaayalaNPD,Honoré-Mercier,http://politwitter.ca/user/paulinaayalaNPD,@paulinaayalaNPD
Peter Braid,@peterbraid,Kitchener—Waterloo,http://politwitter.ca/user/peterbraid,@peterbraid
Pierre Nantel,@pierrenantel,Longueuil—Pierre-B,http://politwitter.ca/user/pierrenantel,@pierrenantel
Stephen Harper,@pmharper,La Peltrie,http://politwitter.ca/user/pmharper,@pmharper
Randall Garrison,@r_garrison,Esquimalt—Juan de ,http://politwitter.ca/user/r_garrison,@r_garrison
Robert Goguen,@robertrgoguen,MonctonRiverview,http://politwitter.ca/user/robertrgoguen,@robertrgoguen
Rod Bruinooge,@rodbruinooge,Winnipeg South,http://politwitter.ca/user/rodbruinooge,@rodbruinooge
Rodney Weston,@rodneywestonsj,Saint John,http://politwitter.ca/user/rodneywestonsj,@rodneywestonsj
Scott Brison,@scottbrison,Kings—Hants,http://politwitter.ca/user/scottbrison,@scottbrison
Sean Casey,@seancaseymp,Charlottetown,http://politwitter.ca/user/seancaseymp,@seancaseymp
Stéphane Dion,@stephanedion,Saint-Laurent—Cart,http://politwitter.ca/user/stephanedion,@stephanedion
Steven Fletcher,@stevenjfletcher,Charleswood—St. Ja,http://politwitter.ca/user/stevenjfletcher,@stevenjfletcher
Sylvain Chicoine,@sylvainchicoine,Châteauguay—Saint,http://politwitter.ca/user/sylvainchicoine,@sylvainchicoine
Tyrone Benskin,@tbenskin,Jeanne-Le Ber,http://politwitter.ca/user/tbenskin,@tbenskin
Ted Hsu,@tedhsu,Kingston and the Isl,http://politwitter.ca/user/tedhsu,@tedhsu
