id,name,position,start_date,end_date
a556d367-f9ac-452e-baae-c248b0938d1c,"Harwood, Peter A.",Chief Minister of Guernsey,2012-05-01,2014-03-12
e06e1b58-295c-4837-be1c-6ffbcbfb9a86,"Le Tocq, Jonathan P.",Chief Minister of Guernsey,2014-03-12,
957adc63-eaf0-4147-a1dc-2402c576d1d1,"Trott, Lyndon S.",Chief Minister of Guernsey,2008-05-01,2012-05-01
