uuid,female,male,other,skip,total
cf3e9c7a-6226-4494-ad3c-db97165574b4,2,,,,2
3e1ac7cc-a9ce-4bfe-9fef-f4999f5a7606,,3,,,3
fd165a5b-95e1-4a56-bf42-4648f97117a5,,3,,,3
3e844f7a-e95e-4280-b761-c359a3271add,,2,,,2
785a1804-e606-489a-a208-0c0a47c52fc9,,2,,,2
cc17d3ad-f60e-47b2-a07b-e44cd86b97ba,,3,,,3
d73afdcd-f1cc-47a2-bbcb-c2023ea9ab19,,2,,,2
e80eaece-9df8-412f-a942-b282f6f24c85,,2,,,2
6e9d0067-db7a-4105-b956-d80e678e04c5,,2,,,2
075bf744-9ed9-4c6a-9eb3-f9e913451238,,2,,,2
4ad56d75-1ae9-4bd5-91a2-27abbd71d444,,2,,,2
6b7c3417-4a33-4638-9cb2-9495a24370ac,,2,,,2
045e0518-1a4e-4bd1-915f-a8dfe444f99f,,2,,,2
e9e685a0-0746-4c76-9d50-3d1685de78b7,,2,,,2
18c7f800-1abe-47bf-8319-869c648241f9,,3,,,3
ab3fdc41-39ec-451e-83d3-a7233c3a12d0,,3,,,3
0372687f-06ee-4e79-98b0-da2e20fc0369,,2,,,2
027142ce-aa1d-4eca-944c-996488f327b1,2,,,,2
be102c9d-877c-45a5-b94b-8b43ab82b957,,3,,,3
abd54c38-b7ab-44c1-90e9-0d598bacd823,2,1,,,3
46b2be4b-0770-43d2-b6b6-c100e6a46a78,,2,,,2
66fadc9f-21ca-4efb-a182-1293f1d3455b,,2,,,2
15d90f21-4c2c-48a1-9c1f-c70a33ca16e9,,2,,,2
bf9b8c39-d935-4293-8f2a-f3941bebe342,,2,,,2
e2c30724-2b35-4b75-b799-1bd6aa97232b,,2,,,2
27631b9a-0747-490c-85aa-18de802d303c,,2,,,2
926ced23-8800-4e5f-8cf7-21937bf9d348,,3,,,3
25344cf4-c925-4568-8203-5731de8beb37,,2,,,2
a60b99eb-d91d-4141-b6eb-8c585b9fb562,,2,,,2
3743bd22-e83e-4087-99ad-8004f1501ba7,,2,,,2
7d360293-5470-403b-b630-5a1d7ca4a992,,2,,,2
5f42e633-dde3-4423-86aa-194fe52c1e70,,2,,,2
60bb216e-e1f3-4936-be8f-6d6fdb8014b2,1,1,,,2
3fa01e16-cbf6-4f33-a546-57451e86529d,,3,,,3
de4d2b36-19d3-42c8-a95b-ccd326c3963a,,3,,,3
5ab57e16-78e0-489a-9d00-6432ea5e38b1,,3,,,3
80589044-78e1-4744-a288-313597231315,,2,,,2
c7d40208-b818-4a90-9a8b-d52a5a8a0cef,1,1,,,2
af41ade7-5e4f-45a3-96f2-3bea0e290a2d,,2,,,2
91d3bf22-9964-4471-8dbc-9378254b52b8,,2,,,2
e96172c6-7d7e-4c83-b850-0e6bbb1875e1,,2,,,2
75165662-3052-432c-8983-adc2b273d1a0,,2,,,2
b1066eb4-0774-4f0a-a6f4-793cab73bfee,2,,,,2
eb61a667-cdd0-42ef-b37d-2c64c198f796,,2,,,2
ae8a62eb-d2cf-450d-9d5b-0d17789c6f72,,2,,,2
0cb21ecf-d8d0-4595-86f0-6b0e0d46eb20,,2,,,2
79ea9ff1-7961-4b2b-af19-4a3635ccd74c,,2,,,2
01560fef-c816-423f-a420-298f498fbe68,,2,,,2
b10da772-4745-4c00-a63e-01e28047051f,,3,,,3
d5bd646a-8f22-44ac-9568-f22f34348f6b,,2,,,2
7a82ec15-34dd-4064-a8ee-0fcaf4199019,,3,,,3
3c72e3e4-917a-4d2f-99a1-bc852f677ef9,,3,,,3
c5b18aef-2cb0-456d-ab3b-2bcc366f080d,,3,,,3
15f49c3c-9f48-4cb5-83b3-ffbc9b7bf9b3,,2,,,2
f04b98ff-6f6c-428f-a543-4cd84df1a9c4,,2,,,2
dfc7e475-aa03-4e55-8111-9a8e1531c556,,3,,,3
cc57eb6e-77d9-41f6-9c9f-510c64d20b3e,,3,,,3
7e5fa0ef-5732-4520-876e-491502864744,,2,,,2
0b4f90cf-ca53-4060-be8c-9cfb4223d698,2,,,,2
25f78b53-0116-4568-b3b5-9e900efbc8bf,,3,,,3
7f252509-0df7-40eb-af97-318bd18035ea,,3,,,3
fdabebc1-2491-4d73-b981-add7e3de2c93,,2,,,2
5f94c878-b095-4c8d-aae9-7bdeff72c8c8,2,,,,2
82f57e83-d875-494b-aaa1-420a79ebabca,,3,,,3
0ddd1b1a-1635-44ae-8df9-bf3c58102924,,2,,,2
e6e03a85-590f-4ccf-af0f-9f8f305b64e4,,2,,,2
51879264-acd7-4091-847b-950221262bac,3,,,,3
5e16ec7a-91e0-4104-b781-be421eac7922,,2,,,2
91cdb3a2-52cd-468e-8ebf-607a3568c776,,3,,,3
6951383e-e99c-4925-aa33-74795fda1937,,2,,,2
ecf870c4-01cd-4a8f-9a09-2c450dccba05,,3,,,3
77c61553-f5a0-4021-81eb-ec232cd23a11,,2,,,2
294578d4-ba83-4e0e-b8ad-704a0c30f0f5,,2,,,2
