name,wikiname__sq,area,party,term,source,wikiname__en,id
Gjok Jaku,,Lezhë County,Socialist Party,7,,Gjok Jaku,gjok_jaku
Gjok Uldedaj,,Shkodër County,Democratic Party,7,,Gjok Uldedaj,gjok_uldedaj
Gjovalin Kadeli,,Lezhë County,Socialist Party,7,,Gjovalin Kadeli,gjovalin_kadeli
Gramoz Ruci,,Fier County,Socialist Party,7,,Gramoz Ruci,gramoz_ruci
Gëzim Dibra,,Shkodër County,Democratic Party,7,,Gëzim Dibra,gëzim_dibra
Hazir Gashi,,Durrës County,Socialist Party,7,,Hazir Gashi,hazir_gashi
Igli Cara,,Durrës County,Democratic Party,7,,Igli Cara,igli_cara
Ilir Bano,,Fier County,Democratic Party,7,,Ilir Bano,ilir_bano
Ilir Bejtja,,Elbasan County,Socialist Party,7,,Ilir Bejtja,ilir_bejtja
Ilir Beqja,,Shkodër County,Socialist Party,7,,Ilir Beqja,ilir_beqja
Ilir Gjoni,,Tirana County,Socialist Party,7,,Ilir Gjoni,ilir_gjoni
Ilir Meta,,Tirana County,Socialist Movement for Integration,7,,Ilir Meta,ilir_meta
Ilir Rusmali,,Tirana County,Democratic Party,7,,Ilir Rusmali,ilir_rusmali
Ismail Hoxha,,Korçë County,Democratic Party,7,,Ismail Hoxha,ismail_hoxha
Jemin Gjana,,Dibër County,Democratic Party,7,,Jemin Gjana,jemin_gjana
Jozefina Topalli,,Shkodër County,Democratic Party,7,,Jozefina Topalli,jozefina_topalli
Kastriot Islami,,Tirana County,Independent,7,,Kastriot Islami,kastriot_islami
Klodiana Spahiu,,Durrës County,Socialist Party,7,,Klodiana Spahiu,klodiana_spahiu
Kreshnik Çipi,,Vlorë County,Democratic Party,7,,Kreshnik Çipi,kreshnik_Çipi
Lajla Pernaska,,Tirana County,Democratic Party,7,,Lajla Pernaska,lajla_pernaska
Ledina Aliolli,,Korçë County,Democratic Party,7,,Ledina Aliolli,ledina_aliolli
Lefter Koka,,Durrës County,Socialist Movement for Integration,7,,Lefter Koka,lefter_koka
Lefter Maliqi,,Berat County,Democratic Party,7,,Lefter Maliqi,lefter_maliqi
Leonard Demi,,Vlorë County,Democratic Party,7,,Leonard Demi,leonard_demi
Luan Skuqi,,Tirana County,Democratic Party,7,,Luan Skuqi,luan_skuqi
Luiza Xhuvani,,Vlorë County,Socialist Party,7,,Luiza Xhuvani,luiza_xhuvani
Lulzim Basha,,Elbasan County,Democratic Party,7,,Lulzim Basha,lulzim_basha
Luçiano Boçi,,Elbasan County,Democratic Party,7,,Luçiano Boçi,luçiano_boçi
Majlinda Bregu,,Tirana County,Democratic Party,7,,Majlinda Bregu,majlinda_bregu
Mark Marku,,Lezhë County,Democratic Party,7,,Mark Marku,mark_marku
Marko Bello,,Berat County,Socialist Party,7,,Marko Bello,marko_bello
Mehmet Xheka,,Berat County,Democratic Party,7,,Mehmet Xheka,mehmet_xheka
Mesila Doda,,Fier County,Democratic Party,7,,Mesila Doda,mesila_doda
Mimi Kodheli,,Korçë County,Socialist Party,7,,Mimi Kodheli,mimi_kodheli
Myqerem Tafaj,,Tirana County,Democratic Party,7,,Myqerem Tafaj,myqerem_tafaj
Namik Dokle,,Tirana County,Socialist Party,7,,Namik Dokle,namik_dokle
Nasip Naço,,Berat County,Socialist Movement for Integration,7,,Nasip Naço,nasip_naço
Ndue Kola,,Shkodër County,Socialist Party,7,,Ndue Kola,ndue_kola
Ndue Paluca,,Shkodër County,Democratic Party,7,,Ndue Paluca,ndue_paluca
Olta Xhacka,,Korçë County,Socialist Party,7,,Olta Xhacka,olta_xhacka
Osman Metalla,,Durrës County,Democratic Party,7,,Osman Metalla,osman_metalla
Pandeli Majko,,Korçë County,Socialist Party,7,,Pandeli Majko,pandeli_majko
Paulin Sterkaj,,Shkodër County,Democratic Party,7,,Paulin Sterkaj,paulin_sterkaj
Pavlina Hoti,,Lezhë County,Democratic Party,7,,Pavlina Hoti,pavlina_hoti
Piro Lutaj,,Fier County,Socialist Party,7,,Piro Lutaj,piro_lutaj
Qemal Minxhozi,,Dibër County,Socialist Party,7,,Qemal Minxhozi,qemal_minxhozi
Rajmonda Bulku,,Tirana County,Democratic Party,7,,Rajmonda Bulku,rajmonda_bulku
Ridvan Bode,,Korçë County,Democratic Party,7,,Ridvan Bode,ridvan_bode
Rrahim Çota,,Elbasan County,Democratic Party,7,,Rrahim Çota,rrahim_Çota
Rrajmond Hoxha,,Lezhë County,Democratic Party,7,,Rrajmond Hoxha,rrajmond_hoxha
Rudina Seseri,,Durrës County,Socialist Party,7,,Rudina Seseri,rudina_seseri
Sadri Abazi,,Dibër County,Socialist Party,7,,Sadri Abazi,sadri_abazi
Sajmir Tahiri,,Tirana County,Socialist Party,7,,Sajmir Tahiri,sajmir_tahiri
Sali Berisha,,Tirana County,Democratic Party,7,,Sali Berisha,sali_berisha
Selami Xhepa,,Dibër County,Democratic Party,7,,Selami Xhepa,selami_xhepa
Shegush Ligori,,Elbasan County,Socialist Party,7,,Shegush Ligori,shegush_ligori
Sherefedin Shehu,,Dibër County,Democratic Party,7,,Sherefedin Shehu,sherefedin_shehu
Shpetim Idrizi,,Vlorë County,PDIU,7,,Shpetim Idrizi,shpetim_idrizi
Skender Hasa,,Elbasan County,Socialist Party,7,,Skender Hasa,skender_hasa
Sokol Olldashi,,Fier County,Democratic Party,7,,Sokol Olldashi,sokol_olldashi
Spiro Ksera,,Gjirokastër County,Democratic Party,7,,Spiro Ksera,spiro_ksera
Sybi Hida,,Elbasan County,Democratic Party,7,,Sybi Hida,sybi_hida
Taulant Balla,,Elbasan County,Socialist Party,7,,Taulant Balla,taulant_balla
Tom Doshi,,Shkodër County,Socialist Party,7,,Tom Doshi,tom_doshi
Tritan Shehu,,Tirana County,Democratic Party,7,,Tritan Shehu,tritan_shehu
Valentina Leskaj,,Elbasan County,Socialist Party,7,,Valentina Leskaj,valentina_leskaj
Vangjel Dule,,Vlorë County,Unity for Human Rights Party,7,,Vangjel Dule,vangjel_dule
Vangjel Tavo,,Gjirokastër County,Socialist Movement for Integration,7,,Vangjel Tavo,vangjel_tavo
Vasilika Hysi,,Tirana County,Socialist Party,7,,Vasilika Hysi,vasilika_hysi
Vasillaq Ngresi,,Fier County,Democratic Party,7,,Vasillaq Ngresi,vasillaq_ngresi
Viktor Gumi,,Tirana County,Democratic Party,7,,Viktor Gumi,viktor_gumi
Xhemal Qefalia,,Tirana County,Socialist Party,7,,Xhemal Qefalia,xhemal_qefalia
Ylli Lama,,Durrës County,Democratic Party,7,,Ylli Lama,ylli_lama
