id,name,start_date,end_date,source
2013,2013-2017,2013-03-27,2017,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
2009,2009-2013,2009-03-18,2013-02-02,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de&jahr=2009&sitzordnung=0
2005,2005-2009,2005-04-14,2009-02-07,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de&jahr=2005&sitzordnung=0
