id,name,group,group_id,gender,term,constituency,area-constituency,area-district,area-sub_region,area-region,area_type,qualification,email,phone,twitter,facebook,image,summary,date_of_birth,date_of_death,start_date,end_date
mp_133,Jacob Opolot,Independent,INDEP,male,10,Pallisa County,Pallisa County,Pallisa,Bukedi,Eastern,Rural,Post Graduate,,,,,,,1970,,,
mp_134,Jacob Oulanyah L'okori,National Resistance Movement,NRM,male,10,Omoro County,Omoro County,Gulu,Acholi,Northern,Rural,,,,@joulanyah,https://www.facebook.com/jacob.oulanyah?fref=ts,,,1965,,,
mp_135,James Acidri ,National Resistance Movement,NRM,male,10,Maracha East,Maracha East,Maracha,West Nile,Northern,Rural,,,,,,,,,,,
mp_136,James Baba,National Resistance Movement,NRM,male,10,Koboko County,Koboko County,Koboko,West Nile,Northern,Rural,Masters,,,,,,,1945,,,
mp_137,James Kaberuka Niringiyimana,National Resistance Movement,NRM,male,10,Kinkizi West,Kinkizi West,Kanungu,Kigezi,Western,Rural,,,,,,,,,,,
mp_138,James Kakooza,Independent,INDEP,male,10,Kabula County,Kabula County,Lyantonde,Buganda,Central,Rural,Certificate,,,,,,,1962,,,
mp_139,James Waluswaka,National Resistance Movement,NRM,male,10,Bunyole West,Bunyole West,Butaleja,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_14,Amos Lugolobi,National Resistance Movement,NRM,male,10,Ntenjeru North,Ntenjeru North,Kayunga,Buganda,Central,Rural,Masters,,,@alugoolobi,https://www.facebook.com/amos.lugoloobi?ref=br_rs,,,1961,,,
mp_140,Jeje Abubakhar Odong,National Resistance Movement,NRM,male,10,Orungo County,Orungo County,Amuria,Teso,Eastern,Rural,Masters,,,,,,,1954,,,
mp_141,Jimmy Micheal Akena,Uganda Peoples' Congress,UPC,male,10,Lira Municipality,Lira Municipality,Lira,Lango,Northern,Urban,Certificate,,,,,,,,,,
mp_142,Joel Yoweri Sebikali,National Resistance Movement,NRM,male,10,Ntwetwe,Ntwetwe,Kyankwanzi,Buganda,Central,Rural,,,,,,,,,,,
mp_143,John Bagoole Ngobi,Independent,INDEP,male,10,Luuka county North,Luuka county North,Luuka,Busoga,Eastern,Rural,Bachelors,,,,,,,1974,,,
mp_144,John Baptist Loki,National Resistance Movement,NRM,male,10,Matheniko,Matheniko,Moroto,Karamoja,Northern,Rural,,,,,,,,,,,
mp_145,John Baptist Nambeshe,National Resistance Movement,NRM,male,10,Manjiya County,Manjiya County,Bududa,Bugisu,Eastern,Rural,,,,,,,,,,,
mp_146,John Bosco Ikojo,National Resistance Movement,NRM,male,10,Bukedea County,Bukedea County,Bukedea,Teso,Eastern,Rural,,,,,,,,,,,
mp_147,John Bosco Lubyayi,National Resistance Movement,NRM,male,10,Mawokota South,Mawokota South,Mpigi,Buganda,Central,Rural,,,,,,,,,,,
mp_148,John Byabagambi,National Resistance Movement,NRM,male,10,Ibanda South,Ibanda South,Ibanda,Ankole,Western,Rural,Masters,,,@JohnByabagambi,,,,1958,,,
mp_149,John C Muyingo,National Resistance Movement,NRM,male,10,Bamunanika County,Bamunanika County,Luweero,Buganda,Central,Rural,PHD,,,@JCMuyingo,https://www.facebook.com/pages/HON-JC-Muyingo/199001970195209?fref=ts,,,1960,,,
mp_15,Amos Mandela,National Resistance Movement,NRM,male,10,Buyamba County,Buyamba County,Rakai,Buganda,Central,Rural,,,,,,,,,,,
mp_150,John Kamara,National Resistance Movement,NRM,male,10,Bufumbira North,Bufumbira North,Kisoro,Kigezi,Western,Rural,UACE,,,,,,,1974,,,
mp_151,John Ntamuhiira Twesigye,National Resistance Movement,NRM,male,10,Bunyaruguru,Bunyaruguru,Rubirizi,Ankole,Western,Rural,,,,,,,,,,,
mp_152,Johnson  Ssenyonga Muyanja,National Resistance Movement,NRM,male,10,Mukono County South,Mukono County South,Mukono,Buganda,Central,Urban,,,,,,,,,,,
mp_153,Jonathan Odur,Uganda Peoples' Congress,UPC,male,10,Erute South,Erute South,Lira,Lango,Northern,Rural,,,,,,,,,,,
mp_154,Joseph Kakooza,Democratic Party,DP,male,10,Buwekula County,Buwekula County,Mubende,Buganda,Central,Rural,,,,,,,,,,,
mp_155,Joseph Kasozi Muyomba,National Resistance Movement,NRM,male,10,Bukoto Mid-west,Bukoto Mid-west,Lwengo,Buganda,Central,Rural,,,,,,,,,,,
mp_156,Joseph Sekabiito,National Resistance Movement,NRM,male,10,Mawogola South,Mawogola South,Sembabule,Buganda,Central,Rural,,,,,,,,,,,
mp_157,Joseph Ssewungu Gonzaga,Democratic Party,DP,male,10,Kalungu West,Kalungu West,Kalungu,Buganda,Central,Rural,Bachelors,,,,,,,1969,,,
mp_158,Josua Carter Anywarach,Independent,INDEP,male,10,Padyere County,Padyere County,Nebbi,West Nile,Northern,Rural,Bachelors,,,,,,,,,,
mp_159,Julius Bua Acom,Independent,INDEP,male,10,Otuke County,Otuke County,Otuke,Lango,Northern,Rural,,,,,,,,,,,
mp_16,Andrew Aja Baryayanga,Independent,INDEP,male,10,Kabale Municipality,Kabale Municipality,Kabale,Kigezi,Western,Urban,Bachelors,,,,,,,1979,,,
mp_160,Julius Maganda,National Resistance Movement,NRM,male,10,Samia Bugwe South,Samia Bugwe South,Busia,Bukedi,Eastern,Rural,Masters,,,@magandajulius,,,,1971,,,
