identifier__kuvakazim,name,area,party,term,start_date,end_date,,
45,Oliver Mandipaka,Buhera West,ZANU PF,8,,,,
46,Samuel Undenge,Chimanimani East,ZANU PF,8,,,,
47,Munacho Mutezo,Chimanimani West,ZANU PF,8,,,,
48,Raymore Machingura,Chipinge Central,ZANU PF,8,,,,
49,Win Busayi Mlambo,Chipinge East,ZANU PF,8,,,,
50,Enock Porusingazi,Chipinge South,ZANU PF,8,,,,
51,Adam Chimwamurombe,Chipinge West,ZANU PF,8,,,,
52,Arnold Tsunga,Dangamvura-Chikanga,MDC-T,8,,,,
53,Didymus Mutasa,Headlands,ZANU PF,8,,,,
54,Patrick Chinamasa,Makoni Central,ZANU PF,8,,,,
55,Francis Muchenje,Makoni North,ZANU PF,8,,,,
56,Mandi M. Chimene,Makoni South,ZANU PF,8,,,,
57,Kudzanayi Chipanga,Makoni West,ZANU PF,8,,,,
58,Prosper Mutseyami,Musikavanhu,MDC-T,8,,,,
59,Innocent Gonese,Mutare Central,MDC-T,8,,,,
60,Batsirayi Pemhenayi,Mutare North,ZANU PF,8,,,,
61,Nyasha Chikwinya,Mutare South,ZANU PF,8,,,,
62,Christopher Mushohwe,Mutare West,ZANU PF,8,,,,
63,Trevor Saruwaka,Mutasa Central,MDC-T,8,,,,
64,Luke Musamvu,Mutasa North,ZANU PF,8,,,,
65,Irene Zindi,Mutasa South,ZANU PF,8,,,,
66,Hubert Nyanhongo,Nyanga North,ZANU PF,8,,,,
67,Supa C. Mandiwanzira,Nyanga South,ZANU PF,8,,,,
68,Kenneth S. Musanhi,Bindura North,ZANU PF,8,,,,
69,Toendepi Matangira,Bindura South,ZANU PF,8,,,,
70,Epmarcus Kanhanga,Guruve North,ZANU PF,8,,,,
71,Chriswell Mutematsaka,Guruve South,ZANU PF,8,,,,
72,Tabetha Kanengoni-Malinga,Mazowe Central,ZANU PF,8,,,,
73,Edgar Chidavaenzi,Mazowe North,ZANU PF,8,,,,
74,Fortune Chasi,Mazowe South,ZANU PF,8,,,,
75,Kazembe Kazembe,Mazowe West,ZANU PF,8,,,,
76,David Butau,Mbire,ZANU PF,8,,,,
77,Christopher Kuruneri,Mt Darwin East,ZANU PF,8,,,,
78,Noveti Muponora,Mt Darwin North,ZANU PF,8,,,,
79,Saviour Kasukuwere,Mt Darwin South,ZANU PF,5,,,,
80,Joice Mujuru,Mt Darwin West,ZANU PF,8,,,,
81,Alfred Mufunga,Muzarabani North,ZANU PF,8,,,,
82,Christopher Chitindi,Muzarabani south,ZANU PF,8,,,,
83,Wonder Mashange,Rushinga,ZANU PF,8,,,,
84,Nicholas Goche,Shamva North,ZANU PF,8,,,,
85,Joseph Mapiki,Shamva South,ZANU PF,8,,,,
86,Felix Mhona,Chikomba Central,ZANU PF,8,,,,
87,Edgar Mbwembwe,Chikomba East,ZANU PF,8,,,,
88,Michael Bimha,Chikomba West,ZANU PF,8,,,,
89,Tendayi P. Zhanda,Goromonzi North,ZANU PF,8,,,,
90,Petronella Kagonye,Goromonzi South,ZANU PF,8,,,,
91,Biata B. Nyamupinga,Goromonzi West,ZANU PF,8,,,,
92,Washington Masvaire,Maramba Pfungwe,ZANU PF,8,,,,
93,Ray Kaukonde,Marondera Central,ZANU PF,8,,,,
94,Ambrose Mutinhiri,Marondera West,ZANU PF,8,,,,
95,Newton Kachepa,Mudzi North,ZANU PF,8,,,,
96,Jonathan Samukange,Mudzi South,INDEPENDENT,8,,,,
97,Aqualina Katsande,Mudzi West,ZANU PF,8,,,,
98,Tendayi Makunde,Murehwa North,ZANU PF,8,,,,
99,Biggie J. Matiza,Murehwa South,ZANU PF,8,,,,
100,Ladislus Ndoro,Murehwa West,ZANU PF,8,,,,
101,Mubvumbi Mawere,Mutoko East,ZANU PF,8,,,,
102,Mable M. Chinomona,Mutoko North,ZANU PF,8,,,,
103,David Chapfika,Mutoko South,ZANU PF,8,,,,
104,Phineas Chiota,Seke,ZANU PF,8,,,,
105,Simbaneuta Mudarikwa,Uzumba,ZANU PF,8,,,,
106,Simon Musanhu,Wedza North,ZANU PF,8,,,,
107,Michael Madanha,Wedza South,ZANU PF,8,,,,
108,Aldrin Musiiwa,Chakari,ZANU PF,8,,,,
109,Webster Shamu,Chegutu East,ZANU PF,8,,,,
110,Dextor T. Nduna,Chegutu West,ZANU PF,8,,,,
111,Peter Mataruse,Chinhoyi,ZANU PF,8,,,,
112,Godfrey Beremauro,Hurungwe Central,ZANU PF,8,,,,
113,Sarah Mahoka,Hurungwe East,ZANU PF,8,,,,
114,Reuben Marumahoko,Hurungwe North,ZANU PF,8,,,,
115,Temba Mliswa,Hurungwe West,ZANU PF,8,,,,
