id,name,sort_name,gender,summary,twitter,image,image_source
218,Morgan R. Tsvangirai,"Tsvangirai, Morgan R.",male,Morgan Tsvangirai is the President of MDC-T,,http://www.kuvakazim.com/media_root/images/Morgan-Tsvangirai.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/06/Morgan-Tsvangirai.jpg
219,Welshman Ncube,"Ncube, Welshman",male,Welshman Ncube is the President of Movement for Democratic Change (MDC) & Former Minister of Industry and Commerce (2009-2013),,http://www.kuvakazim.com/media_root/images/Welshman-Ncube.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Welshman-Ncube.jpg/220px-Welshman-Ncube.jpg
220,Flora Buka,"Buka, Flora",female,Midlands Province Member of the Senate and Minister of State for Presidential Affairs,,http://www.kuvakazim.com/media_root/images/Hon_Flora_Buka.jpg,www.copac.gov.zw
221,Simbarashe Mumbengegwi,"Mumbengegwi, Simbarashe",male,Minister of Foreign Affairs,,http://www.kuvakazim.com/media_root/images/Simbarashe-Mumbengegwi-250.jpg,http://www.newzimbabwe.com/news/images/news_bSimbarashe-Mumbengegwi-250.jpg
222,Miriam Chikukwa,"Chikukwa, Miriam",female,Harare Province Member of the Senate and Minister of State for Provincial Affairs for Harare Province.,,http://www.kuvakazim.com/media_root/images/Miriam-Chikukwa-300x225.jpg,http://nehandaradio.com/wp-content/uploads/2013/09/Miriam-Chikukwa-300x225.jpg
225,Rossy Mpofu,"Mpofu, Rossy",female,Matebeleland South member of the National Assembly.,,,
226,Nomathemba Ndlovu,"Ndlovu, Nomathemba",female,Matebeleland South Province Member of the National Assembly.,,,
227,Sipho Dube,"Dube, Sipho",female,Matebeleland South Province Member of the National Assembly.,,,
228,Priscilla Misihairabwi-Mushonga,"Misihairabwi-Mushonga, Priscilla",female,Matebeleland South Member of the National Assembly and MDC Secretary General.Former Minister of Regional & International Cooperation (2009-2013).,,http://www.kuvakazim.com/media_root/images/Priscilla_Misihairabwi_Mushonga.jpg,http://www.newzimbabwe.com/news/images/news_bpriscilla250.jpg
229,Sikhanyisiwe Mpofu,"Mpofu, Sikhanyisiwe",female,Matebeleland North Province Member of the Senate,,,
231,Molly Mkandla,"Mkandla, Molly",female,Matebeleland North Member of the Senate.,,,
232,Lwazi Sibanda,"Sibanda, Lwazi",female,Matebeleland North Province Member of the Senate.,,,
235,Thokozani Khupe,"Khupe, Thokozani",female,MDC-T Party Vice President & Bulawayo Province Member of the National Assembly. Former Deputy Prime Minister (2009-2013),,http://www.kuvakazim.com/media_root/images/news_bThokozani-Khupe-250.jpeg,newzimbabwe.com
236,Jane Nicola Watson,"Watson, Jane Nicola",female,Bulawayo Province Member of National Assembly,,,
237,Gladys Mathe,"Mathe, Gladys",female,Bulawayo Province Member of National Assembly.,,,
238,Dorothy Mathe Ndlovu,"Ndlovu, Dorothy Mathe",female,Bulawayo Province Member of National Assembly.,,,
239,Jasmine Toffa,"Toffa, Jasmine",female,Bulawayo Province Member of National Assembly,,,
241,Anastancia Ndhlovu,"Ndhlovu, Anastancia",female,Midlands Province member of the Senate. Former Member of the National Assembly for Shurugwi South.,,,
242,Tariro Mtingwende,"Mtingwende, Tariro",female,Midlands Province Member of the National Assembly.,,,
243,Philina Zhou,"Zhou, Philina",female,Midlands Province Member of the National Assembly.,,,
245,Emma Muzondiwa,"Muzondiwa, Emma",female,Midlands Province Member of the National Assembly,,,
246,Teti Banda,"Banda, Teti",female,Midlands Province Member of the National Assembly.,,,
247,Sabbina Mangwende,"Mangwende, Sabbina",female,Harare Province Member of the National Assembly.,,,
248,Evelyn Masaiti Muzungu,"Muzungu, Evelyn Masaiti",female,Harare Province Member of the National Assembly,,,
249,Josephine Value Chitembwe,"Chitembwe, Josephine Value",female,Harare Province Member of the National Assembly,,,
250,Ronia Bunjira,"Bunjira, Ronia",female,Harare Province Member of the National Assembly,,,
251,Esther Chikuni,"Chikuni, Esther",female,Manicaland Province Member of the National Assembly,,,
252,Annastazia Nyahwo,"Nyahwo, Annastazia",female,Manicaland Province Member of the National Assembly.,,,
253,Lucia Chitura,"Chitura, Lucia",female,,,,
254,Fanny Chirisa,"Chirisa, Fanny",female,Manicaland Province Member of National Assembly,,,
255,Joyce Makonya,"Makonya, Joyce",female,Manicaland Province Member of the National Assembly,,,
256,Getrude Chibagu,"Chibagu, Getrude",female,Mashonaland Central Member of the National Assembly.,,,
257,Dorothy Apronia Kadungure,"Kadungure, Dorothy Apronia",female,Mashonaland Central Province Member of National Assembly.,,,
258,Elizabeth Shongedza,"Shongedza, Elizabeth",female,Mashonaland Central Province Member of National Assembly,,,
259,Dorothy Mashonganyika,"Mashonganyika, Dorothy",female,Mashonaland Central Province Member of the National Assembly.,,,
260,Tsitsi Gezi,"Gezi, Tsitsi",female,Mashonaland Central Member of the House of Aseembly.,,,
261,Bacilia Majaya,"Majaya, Bacilia",female,Mashonaland Central Province Member of National Assembly,,,
262,Mabel Matirangano Nkatazo,"Nkatazo, Mabel Matirangano",female,Mashonaland East Member of the National Assembly.,,,
263,Getrude Hungwa,"Hungwa, Getrude",female,Mashonaland East Province Member of National Asembly,,,
264,Mabel Kaundikiza,"Kaundikiza, Mabel",female,Mashonaland East Province Member of the National Assembly,,,
265,Lilian Zemura,"Zemura, Lilian",female,Mashonaland East Province Member of the National Assembly.,,,
266,Roseline Roseweater,"Roseweater, Roseline",female,Mashonaland East member of the National House of Assembly,,,
267,Muchaneta Muchenje,"Muchenje, Muchaneta",female,Mashonaland East Province Member of the National Assembly.,,,
268,Goodlucky Kwaramba,"Kwaramba, Goodlucky",female,,,,
269,Nomsa Jenifer Mlanga,"Mlanga, Nomsa Jenifer",female,Mashonaland West Province Member of the National Assembly.,,,
270,Christina Nyere,"Nyere, Christina",female,Mashonaland West Member of the National Assembly,,,
271,Constance Tsomondo,"Tsomondo, Constance",female,Mashonaland West Member of National Assembly,,,
272,Joan Tsogorani,"Tsogorani, Joan",female,Mashonaland West Province Member of the National Assembly.,,,
273,Consilia Chinanzvavana,"Chinanzvavana, Consilia",female,Mashonaland West Province Member of National Assembly,,,
274,Anna Rungani,"Rungani, Anna",female,Masvingo Province Member of the National Assembly,,,
275,Yeukai Simbanegavi,"Simbanegavi, Yeukai",female,Masvingo Province Member of the National Assembly,,,
276,Monica Chigudu,"Chigudu, Monica",female,Masvingo Province Member of the National Assembly.,,,
277,Angeline Chipato Memory Munochinzwa,"Munochinzwa, Angeline Chipato Memory",female,Masvingo Province Member of the Senate.,,,
278,Judith Muzhavazhe,"Muzhavazhe, Judith",female,Masvingo Province Member of the National Assembly,,,
279,Annah Shiri,"Shiri, Annah",female,Member of the Senate representing people living with disabilities.,,,
280,Agnes Sibanda,"Sibanda, Agnes",female,Bulawayo Province Member of the Senate.,,,
281,Siphiwe Ncube,"Ncube, Siphiwe",female,Bulawayo Province Member of the Senate,,,
283,Tholakele Khumalo,"Khumalo, Tholakele",female,Bulawayo Province Member of the Senate,,,
284,Cleveria Chizema,"Chizema, Cleveria",female,Harare Metropolitan Member of the Senate,,,
287,Rorana Muchihwa,"Muchihwa, Rorana",female,Harare Province Member of the Senate,,http://www.kuvakazim.com/media_root/images/Hon_Rorana_Muchihwa.jpg,www.copac.gov.zw
288,Monica Mutsvangwa,"Mutsvangwa, Monica",female,Manicaland Province Member of the Senate. Chairperson of the Zimbabwe Women's Parliamentary Caucus.,,http://www.kuvakazim.com/media_root/images/Hon_Monica_Mutsvangwa.jpg,www.copac.gov.zw
289,Judith Mawire,"Mawire, Judith",female,Manicaland Province Member of the Senate.,,,
290,Keresencia Chabuka,"Chabuka, Keresencia",female,,,,
291,Alice Chimbudzi,"Chimbudzi, Alice",female,Mashonaland Central Province Member of Senate,,,
292,Jenia Manyeruke,"Manyeruke, Jenia",female,,,,
294,Martha Muronzi,"Muronzi, Martha",female,Mashonaland Central Province Member of the Senate.,,,
296,Rosemary Goto,"Goto, Rosemary",female,Mashonaland East Member of the Senate.,,,
298,Jane Chifamba,"Chifamba, Jane",female,Mashonaland East Province Member of the Senate,,,
300,Virginia Muchenje,"Muchenje, Virginia",female,Mashonaland Province Member of the Senate,,,
301,Violet Moeketsi,"Moeketsi, Violet",female,Mashonaland West Province Member of the Senate,,,
302,Otilia Muhlawa,"Muhlawa, Otilia",female,Masvingo Province Member of the National Assembly.,,,
305,Alphina Juba,"Juba, Alphina",female,Matebeleland North Province Member of Senate,,,
306,Rosemary Nyathi,"Nyathi, Rosemary",female,Mashonaland North Province Member of the Senate,,,
308,Medelina Bhebhe,"Bhebhe, Medelina",female,Mashonaland North Member of the Senate,,,
310,Alma Mkhwebu,"Mkhwebu, Alma",female,Matebeleland South Province Member of Senate.,,,
311,Sithembile Mlotshwa,"Mlotshwa, Sithembile",female,Mashonaland South Province Member of the Senate,,,
312,Joyce Ndhlovu,"Ndhlovu, Joyce",female,Matebeleland South Province Member of the Senate.,,,
315,Address Matiirira,"Matiirira, Address",female,Mashonaland East Province Member of the Senate.,,,
316,Angelina Masuku,"Masuku, Angelina",female,Senator for Bulawayo Province & Matebeleland South Governor,,http://www.kuvakazim.com/media_root/images/masuku-angeline-_1.jpg,Internet
317,Cain G. Mathema,"Mathema, Cain G.",male,Senator and Minister of State for Matebeleland North Province,,http://www.kuvakazim.com/media_root/images/Cain-Matema-250_1.jpg,http://www.newzimbabwe.com/news/images/news_bCain-Matema-250.jpg
318,Charles Tawengwa,"Tawengwa, Charles",male,Harare Province Member of the Senate,,,
319,Chenhamo C. C. Chimutengwede,"Chimutengwede, Chenhamo C. C.",male,Mashonaland Central Province Member of the Senate,,http://www.kuvakazim.com/media_root/images/Chen-Chimutengwende.jpg,Internet
321,Damian D. E. Mumvuri,"Mumvuri, Damian D. E.",male,Mashonaland Central Province Member of the Senate,,,
322,Dorothy Tholakele Khumalo,"Khumalo, Dorothy Tholakele",female,Bulawayo Province Member of the Senate,,,
323,Dzikamai Calisto Mavhaire,"Mavhaire, Dzikamai Calisto",male,Masvigo Province Member of the Senate and Minister of Energy and Power Development,,http://www.kuvakazim.com/media_root/images/MAVHAIRE-DZIKAMAI.jpg,http://www.herald.co.zw/wp-content/uploads/2013/10/MAVHAIRE-DZIKAMAI.jpg
324,Edna Madzongwe,"Madzongwe, Edna",female,Senator for Mashonaland West Province and Senate President,,http://www.kuvakazim.com/media_root/images/Edina_madzongwe.jpg,http://thezimbabwemirror.com/wp-content/uploads/2013/03/madzongwe.jpg
325,Farirai Ethel Mabhungu,"Mabhungu, Farirai Ethel",female,Masvingo Province Member of the Senate,,,
326,Grace Tsitsi Jadagu,"Jadagu, Grace Tsitsi",female,Harare Province Member of the Senate,,,
327,Herbert M. Sinampande,"Sinampande, Herbert M.",male,Matebeleland North Province Member of the Senate,,,
328,Jaison Max Korerai Machaya,"Machaya, Jaison Max Korerai",male,Midlands Province Member of the Senate,,http://www.kuvakazim.com/media_root/images/Hon-Machaya-Jaison-Max-Kokerai-1.jpg,http://img.thezimbabwean.co.uk/640_808_Hon-Machaya-Jaison-Max-Kokerai-1.jpg
329,James Makore,"Makore, James",male,Harare Province Member of the Senate.,,,
330,Josiah D. Hungwe,"Hungwe, Josiah D.",male,Senator and Minister of State for Liaising on Psychomotor Activities in Education Vocational Training,,http://www.kuvakazim.com/media_root/images/Josiah_Hungwe_1.jpg,Internet
331,Keresina Chabuka,"Chabuka, Keresina",,,,,
332,Kumbirai Kangai,"Kangai, Kumbirai",male,Manicaland Province Member of the Senate.,,,
333,Lilian Timveos,"Timveos, Lilian",female,Mdlands Province Member of the Senate.,,,
334,Mail Nkomo,"Nkomo, Mail",male,Matebeleland North Member of the Senate,,,
335,Matson M. Hlalo,"Hlalo, Matson M.",male,Bulawayo Province Member of the Senate.,,,
336,Michael Norman Carter,"Carter, Michael Norman",male,Bulawayo Province Member of the Senate.,,,
337,Michael R. Nyambuya,"Nyambuya, Michael R.",male,Manicaland Province Member of the Senate.,,,
338,Mike M. Byton,"Byton, Mike M.",male,Mashonaland West Province Member of the Senate.,,,
339,Misheck Marava,"Marava, Misheck",male,Masvingo Province Member of the Senate.,,,
340,Mlotshwa Sithembile,"Sithembile, Mlotshwa",female,Matebeleland South member of the Senate.,,,
341,Monicah Mavhunga,"Mavhunga, Monicah",female,Mashonaland Central Province Member of the Senate.,,,
342,Morgen Komichi,"Komichi, Morgen",male,Midlands Province Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/MorganKomichi.JPG,http://www.swradioafrica.com/faces/MorganKomichi.JPG
343,Muhlava Otilia Maluleke,"Maluleke, Muhlava Otilia",female,Masvingo Province Member of the Senate.,,,
344,Olivia N. Muchena,"Muchena, Olivia N.",female,"Mashonaland East Province Member of the Senate and Minister of Higher and Tertiary Education, Science and Technology Development",,http://www.kuvakazim.com/media_root/images/Olivia_Muchena_1.jpg,Internet
345,Pagwese David Parirenyatwa,"Parirenyatwa, Pagwese David",male,Mashonaland East Province Member of the Senate and Minister of Health and Child Care.,,http://www.kuvakazim.com/media_root/images/David-Parirenyatwa_1.jpg,Internet
346,Patrick Chitaka,"Chitaka, Patrick",male,Manicaland Province Member of the Senate.,,,
347,Prisca Mupfumira,"Mupfumira, Prisca",female,Mashonaland West Province Member of the Senate.,,,
348,Ruth Mafoko Labode,"Labode, Ruth Mafoko",female,Matebeleland North Member of the Senate.,,,
349,Sekai Masikana Holland,"Holland, Sekai Masikana",female,"Harare Province Member of the Senate & Former Co- Minister of State for National Healing, Reconciliation and Integration (2009-2013)",,http://www.kuvakazim.com/media_root/images/sekaiholland.png,http://www.afrikadag.nl/foto/sekaiholland.png
350,Shuvai Ben Mahofa,"Mahofa, Shuvai Ben",female,Masvingo Province Member of the Senate,,http://www.kuvakazim.com/media_root/images/Shuvai_mahofa.jpg,http://www.swradioafrica.com/faces/Shuvai_mahofa.jpg
351,Sibusisiwe Budha,"Budha, Sibusisiwe",female,Matebeleland North province Member of the Senate,,,
353,Simon K. Moyo,"Moyo, Simon K.",male,"Matebeleland South Province Member of the Senate, ZANU PF National Chairperson and Senior Minister of State.",,http://www.kuvakazim.com/media_root/images/Simon-Khaya-Moyo1.jpg,www.talkzimbabwe.com
354,Sydney T. Sekeramayi,"Sekeramayi, Sydney T.",male,Mashonaland East Province Member of the Senate and Minister of Defence,,http://www.kuvakazim.com/media_root/images/Sekeramai.jpg,http://4.bp.blogspot.com/-sBCY0lVEqkw/UVHUahUMvtI/AAAAAAAAAIw/Z_Hdp7Q428E/s1600/Sekeramai.jpg
355,Tambudzani B. Mohadi,"Mohadi, Tambudzani B.",female,Matebeleland South Province Member of the Senate.,,http://www.kuvakazim.com/media_root/images/Hon_Tambudzai_B._Mohadi.jpg,www.copac.gov.zw
356,Tapera Machingaifa,"Machingaifa, Tapera",male,Mashonaland West Province Member of the Senate,,,
357,Thokozile A. Mathuthu,"Mathuthu, Thokozile A.",female,Mashonaland North Province Member of the Senate,,http://www.kuvakazim.com/media_root/images/Mathuthu.jpg,www.copac.gov.zw
358,Tsitsi V. Muzenda,"Muzenda, Tsitsi V.",female,Midlands Province Member of the Senate.,,http://www.kuvakazim.com/media_root/images/tsitsi_muzenda.jpg,http://www.chronicle.co.zw/wp-content/uploads/2012/08/tsitsi%20muzenda2-290x175.jpg
359,Watchy Sibanda,"Sibanda, Watchy",male,Matebeleland South Prvince Member of the Senate,,,
360,Tionei Melody Dziva,"Dziva, Tionei Melody",female,Midlands Province Member of the National Assembly.,,,
361,Abigail Damasane,"Damasane, Abigail",female,Matebeleland South Province Member of the National Assembly and Deputy Minister of Women Affairs and Community Development.,,http://www.kuvakazim.com/media_root/images/ABIGAIL-DAMASANE-1_1.jpg,Internet
362,Faber Chidarikire,"Chidarikire, Faber",male,Mashonaland West Province Resident Minister,,,
363,Maideyi Mpala,"Mpala, Maideyi",Female,Lobengula Member of the National Assembly,,,
364,Tshinga J Dube,"Dube, Tshinga J",Male,Makokoba Member of the National Assembly,,,
365,Joseph Tshuma,"Tshuma, Joseph",Male,Pelandaba-Mpopoma Member of the National Assembly,,,
366,Godfrey N Malaba,"Malaba, Godfrey N",Male,Pumula Member of the National Assembly,,,
367,Omega S Hungwe,"Hungwe, Omega S",Male,Dizivaresekwa Member of the National Assembly,,,
368,Hazvineyi Z Makari,"Makari, Hazvineyi Z",,Epworth Member of the National Assembly,,,
369,Pius Madzinga,"Madzinga, Pius",Male,Glen View South Member of the National Assembly,,,
370,Terence Mukupe,"Mukupe, Terence",Male,Harare East Member of the National Assembly,,,
371,Psychology Mazivisa,"Mazivisa, Psychology",Male,Highfield West Member of the National Assembly,,,
372,Tinashe Maduza,"Maduza, Tinashe",Male,Kambuzuma Member of the National Assembly,,,
