id,name,sort_name,gender,summary,twitter,image,image_source
90,Petronella Kagonye,"Kagonye, Petronella",female,Goromonzi South Member of the National Assembly.,,,
91,Biata B. Nyamupinga,"Nyamupinga, Biata B.",female,Goromonzi West Member of the National Assembly. Former Chairperson of the Zimbabwe Women's Parliamentary Caucus.,,http://www.kuvakazim.com/media_root/images/Biata-Beatrice-Nyamupinga-590.jpg,http://nehandaradio.com/wp-content/uploads/2011/12/Biata-Beatrice-Nyamupinga-590.jpg
92,Washington Masvaire,"Masvaire, Washington",male,Maramba Pfungwe Member of the National Assembly.,,,
93,Ray Kaukonde,"Kaukonde, Ray",male,Marondera Central Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/kaukonderay.jpg,http://www.herald.co.zw/wp-content/uploads/2012/04/kaukonderay.jpg
94,Ambrose Mutinhiri,"Mutinhiri, Ambrose",male,Marondera West Member of National Assembly. Former Minister of Youth Development and Employment Creation.,,http://www.kuvakazim.com/media_root/images/MutinhiriAmbrose..jpg,http://img.thezimbabwean.co.uk/640_683_MutinhiriAmbrose..jpg
95,Newton Kachepa,"Kachepa, Newton",male,Mudzi North Member of the National Assembly.,,,
96,Jonathan Samukange,"Samukange, Jonathan",male,Mudzi South Member of the National Assembly.,,,
97,Aqualina Katsande,"Katsande, Aqualina",female,Mudzi West Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/Aqualinah_Katsande.jpg,http://www.swradioafrica.com/faces/Aqualinah_Katsande.jpg
98,Tendayi Makunde,"Makunde, Tendayi",male,Murehwa North Member of the National Assembly,,,
99,Biggie J. Matiza,"Matiza, Biggie J.",male,"Murehwa South Member of National Assembly. Deputy Minister of Local Government, Public Works & National Housing",,http://www.kuvakazim.com/media_root/images/Joel-Biggie-Matiza.jpeg,www.herald.co.zw
100,Ladislus Ndoro,"Ndoro, Ladislus",male,Murehwa West Member of the National Assembly.,,,
101,Mubvumbi Mawere,"Mawere, Mubvumbi",male,Mutoko East member of the National Assembly.,,,
102,Mable M. Chinomona,"Chinomona, Mable M.",female,Mutoko North Member of the National Assembly.,,,
103,David Chapfika,"Chapfika, David",male,Mutoko South Member of National Assembly. Former Deputy Minister of Finance.,,http://www.kuvakazim.com/media_root/images/David-Chapfika.jpg,http://www.znccharare.co.zw/2012/04/12/again-the-bank-indigenisation-debate-chapfika-sticks-to-the-act/
104,Phineas Chiota,"Chiota, Phineas",male,Seke Member of the National Assembly.,,,
105,Simbaneuta Mudarikwa,"Mudarikwa, Simbaneuta",male,Uzumba Member of the National Assembly and Mashonaland East Minister,,http://www.kuvakazim.com/media_root/images/Simbaneutamudarikwa.jpg,http://www.zimbabweonlinepress.com/thumbnail.php?file=Simbaneutamudarikwa_526728401.jpg&size=article_medium
106,Simon Musanhu,"Musanhu, Simon",male,"Wedza North Member of the National Assembly and Deputy Minister of Environment, Water and Climate",,,
107,Michael Madanha,"Madanha, Michael",male,Wedza South Member of the National Assembly.,,,
108,Aldrin Musiiwa,"Musiiwa, Aldrin",male,Chakari Member of the National Assembly.,,,
109,Webster Shamu,"Shamu, Webster",male,"Chegutu East Member of the National Assembly & Minister of Information Communication Technology, Postal and Courier Services.",,http://www.kuvakazim.com/media_root/images/webster-shamu.jpg,http://philmatibe.files.wordpress.com/2009/10/webster-shamu.jpg
110,Dextor T. Nduna,"Nduna, Dextor T.",male,Chegutu West Member of the National Assembly.,,,
111,Peter Mataruse,"Mataruse, Peter",male,Chinhoyi Member of the National Assembly.,,,
112,Godfrey Beremauro,"Beremauro, Godfrey",male,Hurungwe Central Member of the National Assembly.,,,
113,Sarah Mahoka,"Mahoka, Sarah",female,Hurungwe East Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/mahokasarah.jpg,http://4.bp.blogspot.com/-_iAzMj1gD_0/T43xXbM53AI/AAAAAAAACr4/zmnp0bzrgEc/s1600/mahokasarah.jpg
114,Reuben Marumahoko,"Marumahoko, Reuben",male,Hurungwe North Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/Reuben-Marumahoko.jpg,http://www.zanupfcrime.com/graphics/suspects/Reuben-Marumahoko.jpg
115,Temba Mliswa,"Mliswa, Temba",male,Hurungwe West Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Themba-Mliswa.png,http://www.herald.co.zw/wp-content/uploads/2013/08/Themba-Mliswa.png
116,Fani Phanuel Phiri,"Phiri, Fani Phanuel",male,Kadoma Central Member of the National Assembly,,,
117,Isaac Mackenzie,"Mackenzie, Isaac",male,Kariba Member of the National Assembly,,,
118,Godfrey Gandawa,"Gandawa, Godfrey",male,Magunje Constituency Member of National Assembly,,http://www.kuvakazim.com/media_root/images/Godfrey_Gandawa.jpg,https://www.newsday.co.zw/wp-content/uploads/2013/05/gandawa-002-100x100.jpg
119,Kindness Paradza,"Paradza, Kindness",male,Makonde Member of the National Assembly,,,
120,Thomas Maseko,"Maseko, Thomas",male,Mhangura Member of the National Assembly,,,
121,Sylvester Nguni,"Nguni, Sylvester",male,Mhondoro-Mubaira Member of the National Assembly & Minister of State in Vice President ,,http://www.kuvakazim.com/media_root/images/nguni.jpg,http://www.thecottoncompany.com/news/images/nguni.jpg
122,Mike Gava,"Gava, Mike",male,Mhondoro-Ngezi Member of the National Assembly.,,,
123,Peter Haritatos,"Haritatos, Peter",male,Muzvezve Member of the National Assembly,,,
124,Christopher Mutsvangwa,"Mutsvangwa, Christopher",male,,,http://www.kuvakazim.com/media_root/images/Christopher-Mutsvangwa-682x1024.jpg,https://www.newsday.co.zw/wp-content/uploads/2013/02/Christopher-Mutsvangwa-682x1024.jpg
125,Blessed Runesu,"Runesu, Blessed",male,Sanyati Member of National Assembly,,,
126,Francis Mukwangwariwa,"Mukwangwariwa, Francis",male,Zvimba East Member of National Assembly,,,
127,Ignatius Chombo,"Chombo, Ignatius",male,"Zvimba North Member of the National Assembly &  Minister of Local Government, Public Works and National Housing.",,http://www.kuvakazim.com/media_root/images/chombo_ign.jpg,http://1.bp.blogspot.com/-O5_951IbQP8/UiHxe62BDgI/AAAAAAAAA6M/XQsIKPDUzT8/s1600/chombo+ign.jpg
128,Walter Chidhakwa,"Chidhakwa, Walter",male,Zvimba South Member of the National Assembly & Minister of Mines and Mining Development,,http://www.kuvakazim.com/media_root/images/Hon_Walter_K._Chidhakwa.jpg,www.copac.gov.zw
129,Ziyambi Ziyambi,"Ziyambi, Ziyambi",male,Zvimba West Member of the National Assembly and Deputy Minister of Home Affairs.,,http://www.kuvakazim.com/media_root/images/Ziyambe-Ziyambe.jpg,http://www.herald.co.zw/wp-content/uploads/2013/10/Ziyambe-Ziyambe.jpg
130,Kennedy Matimba,"Matimba, Kennedy",male,Bikita East Member of the National Assembly,,,
131,Jeppy Jaboon,"Jaboon, Jeppy",male,Bikita South Member of the National Assembly.,,,
132,Munyaradzi Kereke,"Kereke, Munyaradzi",male,Bikita West Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Munyaradzi_kereke.jpg,http://www.newzimbabwe.com/news/images/news_bkereke-munya-250.jpg
133,Denford Masiya,"Masiya, Denford",male,Chiredzi East Member of National Assembly,,http://www.kuvakazim.com/media_root/images/2013-11-24-20-17-37-1579959567.jpeg,Denford Masiya - Google+
134,Robert Mukwena,"Mukwena, Robert",male,Chiredzi North Member of the National Assembly.,,,
135,Kalitso Gwanetsa,"Gwanetsa, Kalitso",male,Chiredzi South Member of the National Assembly,,,
136,Ephraim Gwanonodza,"Gwanonodza, Ephraim",male,Chivi Central Member of National Assembly,,,
137,Mathias Tongofa,"Tongofa, Mathias",male,Chivi North Member of the National Assembly.,,,
138,Mafios Vutete,"Vutete, Mafios",male,Chivi South Member of the National Assembly.,,,
139,Lovemore Matuke,"Matuke, Lovemore",male,Gutu Central Member of the National Assembly.,,,
140,Berta Chikwama,"Chikwama, Berta",female,Gutu East Member of National Assembly.,,,
141,Paul Chimedza,"Chimedza, Paul",male,Gutu South Member of the National Assembly and Deputy Minister of Health and Child Care,,http://www.kuvakazim.com/media_root/images/Paul_Chimedza.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/09/Loc14.jpg
142,Tongai Muzenda,"Muzenda, Tongai",male,"Gutu West Member of the National Assembly and Deputy Minister of Public Service, Labour and Social Welfare",,http://www.kuvakazim.com/media_root/images/Tongai_Muzenda.jpg,http://www.herald.co.zw/wp-content/uploads/2013/07/tongaiz.jpg
143,Edmond Mhere,"Mhere, Edmond",male,Masvingo Central Member of the National Assembly,,,
144,Davis Marapira,"Marapira, Davis",male,"Masvingo North Member of National Assembly. Deputy Minister of Agriculture -(Cropping, Mechanisation & Irrigation Development).",,http://www.kuvakazim.com/media_root/images/Hon-Marapira-Davis-12.jpeg,www.herald.co.zw
145,Walter Mzembi,"Mzembi, Walter",male,Masvingo South Member of National Assembly and  Minister of Tourism and Hospitality Industry.,,http://www.kuvakazim.com/media_root/images/Walter_Mzembi.jpeg,https://si0.twimg.com/profile_images/378800000020679077/58c63ed01846c53088c5d2353bee03cc.jpeg
146,Daniel Shumba,"Shumba, Daniel",male,Masvingo Urban Member of National Assembly,,http://www.kuvakazim.com/media_root/images/news_bDaniel-Shumba-250_1.jpg,http://www.newzimbabwe.com/news/images/news_bDaniel-Shumba-250.jpg
147,Ezira Ruvai,"Ruvai, Ezira",male,Masvingo West Member of National Assembly,,,
148,Chuma K. Bhasikiti,"Bhasikiti, Chuma K.",male,Mwenezi East Member of National Assembly. Masvingo Minister of State for Provincial Affairs.,,,
149,Lamson Moyo,"Moyo, Lamson",male,Mwenezi West Member of the National Assembly,,,
150,Paradzai Chakona,"Chakona, Paradzai",male,Zaka Central Member of the National Assembly.,,,
151,Samson T. Mukanduri,"Mukanduri, Samson T.",male,Zaka East member of the National Assembly.,,,
152,Robson Mavenyengwa,"Mavenyengwa, Robson",male,Zaka North Member of the National Assembly.,,,
153,Mapetere D. V. Mawere,"Mawere, Mapetere D. V.",male,Zaka West Member of the National Assembly.,,,
154,Emmerson Mnangagwa,"Mnangagwa, Emmerson",male,"Chirumanzu-Zibagwe Member of the National Assembly & Minister of Justice, Legal and Parliamentary Affairs. Minister of State Security (1980-1988). Minister of Justice, Legal and Parliamentary Affairs (1989-2000). Acting Minister of Finance (1995-1996). Speaker of Parliament (2000-2005).Minister of Rural Housing & Social Amenities (2005-2009). Minister of Defence (2009-2013).",,http://www.kuvakazim.com/media_root/images/Emmerson-Mnangagwa.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/07/Emmerson-Mnangagwa.jpg
155,Innocent Pedzisai,"Pedzisai, Innocent",male,Chirumanzu Member of the National Assembly.,,,
156,Kizito Chivamba,"Chivamba, Kizito",male,Chiwundura Member of National Assembly.,,,
157,Cephas Sindi,"Sindi, Cephas",male,Gokwe Chireya Member of National Assembly,,,
158,Justice Mayor Wadyajena,"Wadyajena, Justice Mayor",male,Gokwe-Nembudziya Member of the National Assembly,,,
159,Paul Mavima,"Mavima, Paul",male,Gokwe-Sengwe Member of the National Assembly.,,,
160,Jeffrey Runzirwai,"Runzirwai, Jeffrey",male,Gokwe-Sesame Member of the National Assembly.,,,
161,Dorothy Mangami,"Mangami, Dorothy",female,Gokwe Member of National Assembly,,,
162,Melenia Mahiya,"Mahiya, Melenia",female,Gokwe-Gumunyu Member of the National Assembly.,,,
163,Leonard Chikomba,"Chikomba, Leonard",male,Gokwe Kabuyuni Member of the National Assembly.,,,
164,Owen Ncube,"Ncube, Owen",male,Gokwe Kana Member of the National Assembly.,,,
165,Miriam Makweya,"Makweya, Miriam",female,Gokwe Mapfungautsi Member of the National Assembly.,,,
166,Sesel Zvidzai,"Zvidzai, Sesel",male,Gweru Urban Member of the National Aseembly.,,http://www.kuvakazim.com/media_root/images/Sesel-zvidzai.jpg,http://www.newzimbabwe.com/news/images/news_bsesel-zvidzai-250.jpg
167,Masango Matambanadzo,"Matambanadzo, Masango",male,KweKwe Central Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Masango-Matambanadzo.jpg,http://zimbanewsonline.com/wp-content/uploads/2013/08/Masango-Matambanadzo.jpg
168,Makhosini Hlongwane,"Hlongwane, Makhosini",male,Mberengwa East Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/hlongwane_makhosini.jpg,http://www.herald.co.zw/wp-content/uploads/2011/05/01hlongwane%20makhosini.jpg
169,Iris Chiratidzo Mabuwa,"Mabuwa, Iris Chiratidzo",female,Mberengwa South Member of Parliament and Deputy Minister of Industry and Commerce,,,
170,Joram Gumbo,"Gumbo, Joram",male,Mberengwa South Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Joram-Gumbo.jpg,http://img.thezimbabwean.co.uk/310_207_Joram-Gumbo.jpg
171,Settlement Chikwinya,"Chikwinya, Settlement",male,Mbizo Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/Settlement_Chikwinya.jpg,http://www.herald.co.zw/wp-content/uploads/2011/07/chikwinya.jpg
172,Amos Chibaya,"Chibaya, Amos",male,Mkoba Member of National Assembly.,,http://www.kuvakazim.com/media_root/images/amos-chibaya-842x1024.jpg,https://www.newsday.co.zw/wp-content/uploads/2013/02/amos-chibaya-842x1024.jpg
173,Harris Ncube,"Ncube, Harris",male,Redcliffe Member of the National Assembly.,,,
174,Chenayimoyo D. Francis Nhema,"Nhema, Chenayimoyo D. Francis",male,"Shurugwi North Member of the National Assembly & Minister of Youth, Indigenization and Economic Empowerment. Former Minister of Environment & Tourism.",,http://www.kuvakazim.com/media_root/images/Nhema_1.jpg,Internet
175,Tapiwanashe Matangaidze,"Matangaidze, Tapiwanashe",male,Shurugwi South Member of the National Assembly.,,,
176,Mthokozisi M. Mpofu,"Mpofu, Mthokozisi M.",male,Silobela Member of the National Assembly.,,,
177,Josephat Madubeko,"Madubeko, Josephat",male,Vungu Member of the National Assembly.,,,
178,Daniel M. Ncube,"Ncube, Daniel M.",male,Zhombe Member of the National Assembly.,,,
179,John Holder,"Holder, John",male,Zvishavane Ngezi Member of the National Assembly.,,,
180,Fred Moyo,"Moyo, Fred",male,Zvishavane-Runde Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/Fred-Moyo.jpg,http://nehandaradio.com/wp-content/uploads/2013/02/Fred-Moyo.jpg
181,Dubeko Sibanda,"Sibanda, Dubeko",male,Binga North Member of the National Assembly,,,
182,Joel G. Gabbuza,"Gabbuza, Joel G.",male,Binga South Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/gabu.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/09/Top11.jpg
183,Clifford Sibanda,"Sibanda, Clifford",male,Bubi Member of National Assembly,,,
184,Brian Tshuma,"Tshuma, Brian",male,Hwange Central Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/Thsuma.jpg,www.copac.gov.zw
185,Tose Wesley Sansole,"Sansole, Tose Wesley",male,Hwange East Member of the National Assembly,,,
186,Bekithemba Mpofu,"Mpofu, Bekithemba",male,Hwange West Member of National Assembly,,,
